Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Brentford,Arsenal,1.2,1.3,2,0
Manchester Utd,Leeds United,1.5,0.5,5,1
Leicester City,Wolves,0.5,1.3,1,0
Burnley,Brighton,1.5,1.0,1,2
Chelsea,Crystal Palace,0.7,0.2,3,0
Watford,Aston Villa,1.2,1.2,3,2
Everton,Southampton,2.4,0.8,3,1
Norwich City,Liverpool,1.4,1.6,0,3
Newcastle Utd,West Ham,1.8,2.7,2,4
Tottenham,Manchester City,1.0,1.8,1,0
Liverpool,Burnley,2.7,0.9,2,0
Aston Villa,Newcastle Utd,1.2,0.7,2,0
Manchester City,Norwich City,2.6,0.1,5,0
Leeds United,Everton,1.2,1.8,2,2
Crystal Palace,Brentford,0.5,0.9,0,0
Brighton,Watford,1.3,0.5,2,0
Wolves,Tottenham,1.7,1.7,0,1
Southampton,Manchester Utd,0.7,1.8,1,1
Arsenal,Chelsea,0.3,3.1,0,2
West Ham,Leicester City,2.3,0.6,4,1
Manchester City,Arsenal,4.4,0.2,5,0
Norwich City,Leicester City,1.5,1.5,1,2
West Ham,Crystal Palace,1.3,1.1,2,2
Aston Villa,Brentford,0.7,0.9,1,1
Newcastle Utd,Southampton,1.0,3.6,2,2
Brighton,Everton,0.7,1.4,0,2
Liverpool,Chelsea,2.5,0.6,1,1
Burnley,Leeds United,1.0,1.2,1,1
Tottenham,Watford,1.0,0.8,1,0
Wolves,Manchester Utd,2.1,0.6,0,1
Crystal Palace,Tottenham,2.1,0.1,3,0
Watford,Wolves,0.2,2.2,0,2
Brentford,Brighton,0.4,0.3,0,1
Arsenal,Norwich City,2.7,0.7,1,0
Manchester Utd,Newcastle Utd,2.5,0.4,4,1
Leicester City,Manchester City,0.6,2.8,0,1
Southampton,West Ham,0.7,0.7,0,0
Chelsea,Aston Villa,1.3,1.2,3,0
Leeds United,Liverpool,1.2,4.3,0,3
Everton,Burnley,1.4,1.0,3,1
Newcastle Utd,Leeds United,1.3,1.5,1,1
Wolves,Brentford,0.6,2.5,0,2
Manchester City,Southampton,1.0,0.4,0,0
Liverpool,Crystal Palace,3.1,0.6,3,0
Norwich City,Watford,1.0,2.4,1,3
Burnley,Arsenal,1.0,1.1,0,1
Aston Villa,Everton,0.8,0.7,3,0
West Ham,Manchester Utd,1.6,2.0,1,2
Brighton,Leicester City,1.7,1.6,2,1
Tottenham,Chelsea,0.5,2.1,0,3
Manchester Utd,Aston Villa,2.2,1.0,0,1
Chelsea,Manchester City,0.2,1.7,0,1
Leicester City,Burnley,2.4,0.5,2,2
Leeds United,West Ham,1.2,1.6,1,2
Watford,Newcastle Utd,0.9,1.9,1,1
Everton,Norwich City,1.9,0.5,2,0
Brentford,Liverpool,2.1,2.8,3,3
Southampton,Wolves,1.0,1.0,0,1
Arsenal,Tottenham,1.1,1.0,3,1
Crystal Palace,Brighton,1.4,0.8,1,1
Manchester Utd,Everton,1.0,1.3,1,1
Wolves,Newcastle Utd,1.0,0.6,2,1
Burnley,Norwich City,1.2,0.6,0,0
Chelsea,Southampton,3.3,1.3,3,1
Leeds United,Watford,1.3,0.2,1,0
Brighton,Arsenal,1.1,0.4,0,0
Tottenham,Aston Villa,1.3,1.2,2,1
Crystal Palace,Leicester City,1.5,1.2,2,2
West Ham,Brentford,1.5,1.2,1,2
Liverpool,Manchester City,0.9,1.2,2,2
Watford,Liverpool,0.5,3.3,0,5
Leicester City,Manchester Utd,2.4,1.2,4,2
Manchester City,Burnley,2.1,0.9,2,0
Southampton,Leeds United,1.9,0.2,1,0
Aston Villa,Wolves,1.0,2.0,2,3
Norwich City,Brighton,1.2,0.8,0,0
Brentford,Chelsea,1.4,0.3,0,1
Everton,West Ham,0.9,1.2,0,1
Newcastle Utd,Tottenham,0.4,1.7,2,3
Arsenal,Crystal Palace,1.7,0.7,2,2
Arsenal,Aston Villa,2.7,1.4,3,1
Chelsea,Norwich City,3.1,0.1,7,0
Leeds United,Wolves,1.6,0.9,1,1
Crystal Palace,Newcastle Utd,1.9,0.3,1,1
Everton,Watford,1.5,3.7,2,5
Southampton,Burnley,1.6,0.7,2,2
Brighton,Manchester City,1.3,3.8,1,4
West Ham,Tottenham,1.3,0.7,1,0
Brentford,Leicester City,1.0,1.5,1,2
Manchester Utd,Liverpool,1.6,3.4,0,5
Leicester City,Arsenal,1.3,0.7,0,2
Newcastle Utd,Chelsea,0.2,2.2,0,3
Liverpool,Brighton,1.5,1.0,2,2
Burnley,Brentford,2.3,0.8,3,1
Watford,Southampton,1.0,1.8,0,1
Manchester City,Crystal Palace,0.7,0.7,0,2
Tottenham,Manchester Utd,1.0,1.5,0,3
Norwich City,Leeds United,0.8,0.7,1,2
Aston Villa,West Ham,0.7,2.3,1,4
Wolves,Everton,1.7,1.5,2,1
Southampton,Aston Villa,0.6,0.6,1,0
Manchester Utd,Manchester City,0.9,1.6,0,2
Brentford,Norwich City,2.5,1.2,1,2
Chelsea,Burnley,1.8,0.7,1,1
Crystal Palace,Wolves,1.9,0.3,2,0
Brighton,Newcastle Utd,1.5,0.3,1,1
Everton,Tottenham,0.6,0.7,0,0
