Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Liverpool,Norwich City,1.8,0.9,4,1
West Ham,Manchester City,1.1,3.2,0,5
Burnley,Southampton,0.9,1.2,3,0
Watford,Brighton,0.7,0.8,0,3
Crystal Palace,Everton,0.9,1.1,0,0
Bournemouth,Sheffield Utd,1.3,1.3,1,1
Tottenham,Aston Villa,2.4,0.7,3,1
Newcastle Utd,Arsenal,0.4,1.1,0,1
Leicester City,Wolves,0.7,0.7,0,0
Manchester Utd,Chelsea,2.2,1.0,4,0
Arsenal,Burnley,0.8,1.5,2,1
Norwich City,Newcastle Utd,1.7,0.9,3,1
Aston Villa,Bournemouth,2.0,1.6,1,2
Brighton,West Ham,2.0,0.8,1,1
Southampton,Liverpool,1.9,1.3,1,2
Everton,Watford,0.7,1.2,1,0
Manchester City,Tottenham,2.9,0.1,2,2
Sheffield Utd,Crystal Palace,2.2,0.3,1,0
Chelsea,Leicester City,1.1,0.8,1,1
Wolves,Manchester Utd,0.3,1.2,1,1
Aston Villa,Everton,1.0,1.3,2,0
Norwich City,Chelsea,1.1,1.5,2,3
Sheffield Utd,Leicester City,0.3,0.8,1,2
Manchester Utd,Crystal Palace,2.5,1.1,1,2
Watford,West Ham,2.3,3.5,1,3
Brighton,Southampton,0.8,1.7,0,2
Liverpool,Arsenal,2.5,1.0,3,1
Bournemouth,Manchester City,2.2,3.0,1,3
Wolves,Burnley,1.5,1.6,1,1
Tottenham,Newcastle Utd,1.1,0.8,0,1
Southampton,Manchester Utd,0.9,1.5,1,1
West Ham,Norwich City,2.0,1.4,2,0
Crystal Palace,Aston Villa,1.4,0.4,1,0
Leicester City,Bournemouth,2.0,0.6,3,1
Chelsea,Sheffield Utd,2.0,1.1,2,2
Newcastle Utd,Watford,1.0,1.0,1,1
Manchester City,Brighton,1.9,0.9,4,0
Burnley,Liverpool,0.9,1.0,0,3
Everton,Wolves,1.3,2.0,3,2
Arsenal,Tottenham,2.4,2.0,2,2
Liverpool,Newcastle Utd,3.0,0.3,3,1
Wolves,Chelsea,1.7,2.7,2,5
Brighton,Burnley,1.4,0.4,1,1
Tottenham,Crystal Palace,1.0,0.6,4,0
Manchester Utd,Leicester City,1.2,0.6,1,0
Sheffield Utd,Southampton,1.8,1.6,0,1
Norwich City,Manchester City,1.5,2.3,3,2
Bournemouth,Everton,1.4,1.5,3,1
Watford,Arsenal,2.7,0.8,2,2
Aston Villa,West Ham,1.3,0.6,0,0
Southampton,Bournemouth,2.5,1.2,1,3
Leicester City,Tottenham,1.3,1.1,2,1
Manchester City,Watford,5.9,0.4,8,0
Everton,Sheffield Utd,1.0,0.5,0,2
Burnley,Norwich City,2.0,0.8,2,0
Newcastle Utd,Brighton,0.9,1.4,0,0
Crystal Palace,Wolves,0.9,1.5,1,1
West Ham,Manchester Utd,0.4,0.9,2,0
Chelsea,Liverpool,1.3,0.6,1,2
Arsenal,Aston Villa,2.4,1.5,3,2
Sheffield Utd,Liverpool,1.3,1.9,0,1
Chelsea,Brighton,3.7,0.6,2,0
Tottenham,Southampton,1.0,1.5,2,1
Aston Villa,Burnley,1.0,1.5,2,2
Crystal Palace,Norwich City,1.5,0.7,2,0
Wolves,Watford,1.4,1.4,2,0
Bournemouth,West Ham,1.9,1.6,2,2
Everton,Manchester City,2.4,2.8,1,3
Leicester City,Newcastle Utd,1.6,0.1,5,0
Manchester Utd,Arsenal,0.9,1.9,1,1
Brighton,Tottenham,2.4,0.4,3,0
Watford,Sheffield Utd,1.4,0.4,0,0
Burnley,Everton,0.6,1.3,1,0
Liverpool,Leicester City,3.5,0.1,2,1
Norwich City,Aston Villa,2.6,3.0,1,5
West Ham,Crystal Palace,1.4,2.1,1,2
Manchester City,Wolves,1.4,1.0,0,2
Southampton,Chelsea,1.4,1.7,1,4
Arsenal,Bournemouth,1.2,0.6,1,0
Newcastle Utd,Manchester Utd,0.8,0.9,1,0
Everton,West Ham,2.1,0.8,2,0
Aston Villa,Brighton,3.0,1.2,2,1
Leicester City,Burnley,1.0,1.5,2,1
Tottenham,Watford,1.0,0.7,1,1
Wolves,Southampton,0.9,1.4,1,1
Chelsea,Newcastle Utd,2.0,0.4,1,0
Bournemouth,Norwich City,0.7,0.4,0,0
Crystal Palace,Manchester City,0.9,3.5,0,2
Manchester Utd,Liverpool,0.7,1.2,1,1
Sheffield Utd,Arsenal,0.9,1.0,1,0
Southampton,Leicester City,0.3,4.6,0,9
Manchester City,Aston Villa,2.9,1.0,3,0
Watford,Bournemouth,0.8,1.0,0,0
West Ham,Sheffield Utd,2.3,1.0,1,1
Brighton,Everton,1.2,0.9,3,2
Burnley,Chelsea,2.1,0.9,2,4
Newcastle Utd,Wolves,1.0,2.1,1,1
Arsenal,Crystal Palace,1.3,1.6,2,2
Liverpool,Tottenham,2.6,1.2,2,1
Norwich City,Manchester Utd,1.0,4.2,1,3
Bournemouth,Manchester Utd,1.9,0.8,1,0
Sheffield Utd,Burnley,2.3,0.8,3,0
Brighton,Norwich City,2.7,0.4,2,0
Aston Villa,Liverpool,0.4,2.4,1,2
Arsenal,Wolves,0.9,1.8,1,1
West Ham,Newcastle Utd,1.8,1.5,2,3
Manchester City,Southampton,2.9,0.9,2,1
Watford,Chelsea,1.3,2.1,1,2
Crystal Palace,Leicester City,0.5,1.1,0,2
Everton,Tottenham,1.1,0.6,1,1
Norwich City,Watford,0.7,1.3,0,2
Chelsea,Crystal Palace,3.6,0.2,2,0
Southampton,Everton,0.9,1.8,1,2
Burnley,West Ham,2.1,0.5,3,0
Newcastle Utd,Bournemouth,2.4,1.8,2,1
Tottenham,Sheffield Utd,1.8,0.9,1,1
Leicester City,Arsenal,1.2,1.0,2,0
Manchester Utd,Brighton,3.6,0.8,3,1
Wolves,Aston Villa,2.4,0.6,2,1
Liverpool,Manchester City,1.1,1.3,3,1
West Ham,Tottenham,0.7,2.1,2,3
Crystal Palace,Liverpool,1.0,1.4,1,2
Arsenal,Southampton,1.8,2.4,2,2
Bournemouth,Wolves,0.6,1.1,1,2
Everton,Norwich City,0.9,1.7,0,2
Brighton,Leicester City,0.6,3.6,0,2
Watford,Burnley,1.0,1.9,0,3
Manchester City,Chelsea,1.0,0.9,2,1
Sheffield Utd,Manchester Utd,1.3,1.3,3,3
Aston Villa,Newcastle Utd,2.3,0.6,2,0
Newcastle Utd,Manchester City,0.3,2.4,2,2
Tottenham,Bournemouth,2.3,1.1,3,2
Liverpool,Brighton,1.3,0.8,2,1
Burnley,Crystal Palace,1.9,0.7,0,2
Chelsea,West Ham,2.3,0.9,0,1
Southampton,Watford,2.1,0.6,2,1
Norwich City,Arsenal,0.8,1.9,2,2
Wolves,Sheffield Utd,1.3,1.5,1,1
Leicester City,Everton,2.2,1.1,2,1
Manchester Utd,Aston Villa,1.7,1.2,2,2
Crystal Palace,Bournemouth,0.3,0.4,1,0
Burnley,Manchester City,0.6,2.2,1,4
Wolves,West Ham,1.5,0.6,2,0
Southampton,Norwich City,1.7,0.9,2,1
Chelsea,Aston Villa,1.8,1.0,2,1
Manchester Utd,Tottenham,1.4,0.9,2,1
Leicester City,Watford,2.4,0.2,2,0
Liverpool,Everton,2.0,1.5,5,2
Sheffield Utd,Newcastle Utd,1.1,0.5,0,2
Arsenal,Brighton,0.9,1.7,1,2
Everton,Chelsea,1.8,1.1,3,1
Tottenham,Burnley,2.6,0.9,5,0
Watford,Crystal Palace,1.4,0.2,0,0
Bournemouth,Liverpool,0.1,2.4,0,3
Manchester City,Manchester Utd,2.2,1.4,1,2
Norwich City,Sheffield Utd,0.7,0.8,1,2
Aston Villa,Leicester City,1.2,4.6,1,4
Newcastle Utd,Southampton,0.9,1.7,2,1
Brighton,Wolves,1.2,1.5,2,2
West Ham,Arsenal,0.6,1.4,1,3
Liverpool,Watford,1.4,1.0,2,0
Leicester City,Norwich City,1.1,1.1,1,1
Burnley,Newcastle Utd,1.4,1.0,1,0
Sheffield Utd,Aston Villa,1.7,1.1,2,0
Chelsea,Bournemouth,2.1,1.0,0,1
Southampton,West Ham,0.9,0.9,0,1
