Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Wolves,Brighton,1.2,1.5,2,3
Everton,Leicester City,1.2,2.3,0,2
Chelsea,Arsenal,0.3,2.1,0,1
West Ham,Crystal Palace,0.3,1.0,1,2
Southampton,Newcastle Utd,1.7,0.9,1,4
Aston Villa,Manchester Utd,0.6,0.5,3,1
Tottenham,Liverpool,1.2,1.2,1,2
Manchester City,Brentford,1.6,1.3,1,2
Tottenham,Leeds United,1.8,1.1,4,3
Liverpool,Southampton,1.9,1.1,3,1
Bournemouth,Everton,2.4,0.8,3,0
West Ham,Leicester City,1.4,1.8,0,2
Nott'ham Forest,Crystal Palace,1.1,1.2,1,0
Newcastle Utd,Chelsea,1.0,0.3,1,0
Wolves,Arsenal,0.7,2.1,0,2
Brighton,Aston Villa,0.6,1.5,1,2
Fulham,Manchester Utd,1.4,2.5,1,2
Brentford,Tottenham,2.0,1.1,2,2
Southampton,Brighton,1.9,0.6,1,3
Leicester City,Newcastle Utd,0.5,1.9,0,3
Crystal Palace,Fulham,0.4,2.5,0,3
Everton,Wolves,1.7,0.8,1,2
Aston Villa,Liverpool,1.4,2.7,1,3
Arsenal,West Ham,2.1,1.0,3,1
Chelsea,Bournemouth,1.8,0.5,2,0
Manchester Utd,Nott'ham Forest,2.4,0.7,3,0
Leeds United,Manchester City,0.6,4.3,1,3
West Ham,Brentford,1.3,1.6,0,2
Liverpool,Leicester City,2.2,1.0,2,1
Wolves,Manchester Utd,0.7,2.0,0,1
Newcastle Utd,Leeds United,2.2,0.4,0,0
Fulham,Southampton,1.5,0.8,2,1
Manchester City,Everton,1.7,0.1,1,1
Bournemouth,Crystal Palace,0.6,1.6,0,2
Brighton,Arsenal,1.2,2.9,2,4
Tottenham,Aston Villa,0.7,1.0,0,2
Nott'ham Forest,Chelsea,1.4,0.9,1,1
Brentford,Liverpool,1.6,0.9,3,1
Leicester City,Fulham,1.7,1.7,0,1
Everton,Brighton,1.3,2.2,1,4
Arsenal,Newcastle Utd,1.1,1.0,0,0
Manchester Utd,Bournemouth,2.2,0.6,3,0
Southampton,Nott'ham Forest,0.5,1.4,0,1
Leeds United,West Ham,1.6,1.4,2,2
Aston Villa,Wolves,1.8,0.9,1,1
Crystal Palace,Tottenham,0.8,1.4,0,4
Chelsea,Manchester City,0.4,2.0,0,1
Fulham,Chelsea,1.0,2.1,2,1
Aston Villa,Leeds United,1.2,2.4,2,1
Manchester Utd,Manchester City,1.7,0.6,2,1
Everton,Southampton,1.4,1.2,1,2
Wolves,West Ham,0.9,1.1,1,0
Nott'ham Forest,Leicester City,2.4,1.0,2,0
Brighton,Liverpool,1.9,1.0,3,0
Brentford,Bournemouth,1.4,0.6,2,0
Chelsea,Crystal Palace,1.5,0.7,1,0
Newcastle Utd,Fulham,2.2,1.1,1,0
Tottenham,Arsenal,1.6,1.8,0,2
Crystal Palace,Manchester Utd,0.5,2.1,1,1
Manchester City,Tottenham,2.3,0.8,4,2
Liverpool,Chelsea,1.4,1.6,0,0
Bournemouth,Nott'ham Forest,1.4,1.9,1,1
Southampton,Aston Villa,0.6,1.4,0,1
