Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Arsenal,Leicester City,2.5,1.5,4,3
Watford,Liverpool,2.1,2.6,3,3
Crystal Palace,Huddersfield,1.1,1.5,0,3
West Brom,Bournemouth,1.3,0.5,1,0
Chelsea,Burnley,1.5,0.6,2,3
Everton,Stoke City,0.6,0.4,1,0
Southampton,Swansea City,2.0,0.3,0,0
Brighton,Manchester City,0.3,1.9,0,2
Newcastle Utd,Tottenham,0.8,2.5,0,2
Manchester Utd,West Ham,2.1,0.5,4,0
Swansea City,Manchester Utd,0.4,3.0,0,4
Bournemouth,Watford,1.0,2.4,0,2
Southampton,West Ham,2.1,2.0,3,2
Leicester City,Brighton,2.0,0.2,2,0
Burnley,West Brom,1.3,0.9,0,1
Liverpool,Crystal Palace,2.5,0.7,1,0
Stoke City,Arsenal,0.7,1.5,1,0
Huddersfield,Newcastle Utd,0.3,0.7,1,0
Tottenham,Chelsea,0.7,0.7,1,2
Manchester City,Everton,1.1,0.6,1,1
Bournemouth,Manchester City,0.5,1.4,1,2
Huddersfield,Southampton,1.4,0.7,0,0
Watford,Brighton,0.3,1.1,0,0
Crystal Palace,Swansea City,0.9,0.7,0,2
Newcastle Utd,West Ham,2.3,0.6,3,0
Manchester Utd,Leicester City,2.8,0.9,2,0
Chelsea,Everton,1.0,0.4,2,0
West Brom,Stoke City,0.8,1.3,1,1
Tottenham,Burnley,2.3,0.9,1,1
Liverpool,Arsenal,3.1,0.6,4,0
Manchester City,Liverpool,2.4,0.7,5,0
Everton,Tottenham,0.9,1.8,0,3
Arsenal,Bournemouth,2.2,0.6,3,0
Leicester City,Chelsea,1.4,0.8,1,2
Brighton,West Brom,0.4,1.0,3,1
Southampton,Watford,0.3,0.7,0,2
Stoke City,Manchester Utd,1.2,2.1,2,2
Burnley,Crystal Palace,0.3,2.0,1,0
Swansea City,Newcastle Utd,1.2,1.0,0,1
West Ham,Huddersfield,1.7,0.4,2,0
Bournemouth,Brighton,1.2,0.9,2,1
Crystal Palace,Southampton,2.0,1.0,0,1
Newcastle Utd,Stoke City,2.0,0.7,2,1
Huddersfield,Leicester City,0.7,1.3,1,1
Liverpool,Burnley,2.2,0.2,1,1
West Brom,West Ham,0.7,0.3,0,0
Watford,Manchester City,0.5,3.3,0,6
Tottenham,Swansea City,1.1,0.2,0,0
Chelsea,Arsenal,0.8,1.4,0,0
Manchester Utd,Everton,2.9,1.1,4,0
West Ham,Tottenham,0.6,1.2,2,3
Southampton,Manchester Utd,1.0,1.2,0,1
Stoke City,Chelsea,0.8,1.4,0,4
Manchester City,Crystal Palace,4.5,0.6,5,0
Burnley,Huddersfield,0.3,0.3,0,0
Swansea City,Watford,1.7,1.2,1,2
Everton,Bournemouth,2.0,0.3,2,1
Leicester City,Liverpool,2.8,1.7,2,3
Brighton,Newcastle Utd,1.0,1.5,1,0
Arsenal,West Brom,2.2,0.9,2,0
Huddersfield,Tottenham,0.2,1.5,0,4
Stoke City,Southampton,2.4,1.4,2,1
West Ham,Swansea City,0.7,0.2,1,0
Manchester Utd,Crystal Palace,2.8,0.4,4,0
Bournemouth,Leicester City,1.4,0.6,0,0
West Brom,Watford,1.9,1.4,2,2
Chelsea,Manchester City,0.5,0.9,0,1
Arsenal,Brighton,2.4,0.4,2,0
Everton,Burnley,1.1,0.4,0,1
Newcastle Utd,Liverpool,0.3,1.3,1,1
Liverpool,Manchester Utd,1.5,0.2,0,0
Tottenham,Bournemouth,1.8,0.2,1,0
Burnley,West Ham,1.2,0.9,1,1
Crystal Palace,Chelsea,1.7,0.8,2,1
Swansea City,Huddersfield,1.5,0.7,2,0
Manchester City,Stoke City,3.8,0.5,7,2
Watford,Arsenal,1.6,1.0,2,1
Brighton,Everton,1.0,1.5,1,1
Southampton,Newcastle Utd,1.5,1.2,2,2
Leicester City,West Brom,1.3,0.2,1,1
West Ham,Brighton,0.7,1.4,0,3
Chelsea,Watford,1.9,1.9,4,2
Manchester City,Burnley,3.1,0.2,3,0
Huddersfield,Manchester Utd,1.2,0.8,2,1
Swansea City,Leicester City,0.8,1.9,1,2
Stoke City,Bournemouth,1.2,1.1,1,2
Newcastle Utd,Crystal Palace,0.3,0.5,1,0
Southampton,West Brom,2.0,0.4,1,0
Everton,Arsenal,1.0,3.5,2,5
Tottenham,Liverpool,2.0,0.6,4,1
Manchester Utd,Tottenham,0.8,1.2,1,0
Arsenal,Swansea City,2.0,0.9,2,1
Crystal Palace,West Ham,2.6,0.8,2,2
Watford,Stoke City,1.2,1.1,0,1
Liverpool,Huddersfield,2.1,0.1,3,0
West Brom,Manchester City,1.5,2.3,2,3
Bournemouth,Chelsea,0.5,1.6,0,1
Brighton,Southampton,1.2,0.3,1,1
Leicester City,Everton,1.3,0.6,2,0
Burnley,Newcastle Utd,0.9,0.5,1,0
Stoke City,Leicester City,1.0,1.5,2,2
Southampton,Burnley,0.7,0.2,0,1
Swansea City,Brighton,1.3,0.9,0,1
