Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Monaco,Toulouse,2.0,0.3,3,2
Paris S-G,Amiens,2.6,0.3,2,0
Lyon,Strasbourg,1.8,0.5,4,0
Saint-Étienne,Nice,0.9,0.5,1,0
Metz,Guingamp,0.6,1.9,1,3
Montpellier,Caen,1.4,0.4,1,0
Troyes,Rennes,1.9,2.2,1,1
Lille,Nantes,1.9,1.3,3,0
Angers,Bordeaux,1.2,1.7,2,2
Marseille,Dijon,2.1,0.6,3,0
Nice,Troyes,2.3,0.5,1,2
Rennes,Lyon,1.0,1.4,1,2
Nantes,Marseille,1.3,1.6,0,1
Caen,Saint-Étienne,0.9,1.1,0,1
Toulouse,Montpellier,1.5,0.7,1,0
Bordeaux,Metz,2.0,0.3,2,0
Amiens,Angers,0.9,1.4,0,2
Strasbourg,Lille,3.1,0.9,3,0
Dijon,Monaco,1.1,1.6,1,4
Guingamp,Paris S-G,0.1,2.0,0,3
Metz,Monaco,0.8,2.2,0,1
Lyon,Bordeaux,0.7,0.9,3,3
Montpellier,Strasbourg,1.8,0.6,1,1
Troyes,Nantes,0.8,0.9,0,1
Nice,Guingamp,1.0,0.5,2,0
Saint-Étienne,Amiens,2.9,1.2,3,0
Rennes,Dijon,1.2,1.4,2,2
Lille,Caen,0.7,1.8,0,2
Marseille,Angers,1.3,0.6,1,1
Paris S-G,Toulouse,2.6,0.5,6,2
Paris S-G,Saint-Étienne,2.2,0.7,3,0
Nantes,Lyon,0.3,1.1,0,0
Toulouse,Rennes,2.2,1.3,3,2
Bordeaux,Troyes,2.5,0.7,2,1
Amiens,Nice,1.3,0.4,3,0
Dijon,Montpellier,1.3,1.5,2,1
Caen,Metz,1.3,0.8,1,0
Guingamp,Strasbourg,1.8,0.8,2,0
Angers,Lille,0.8,0.8,1,1
Monaco,Marseille,3.8,1.5,6,1
Lille,Bordeaux,0.4,1.0,0,0
Metz,Paris S-G,1.2,4.8,1,5
Nice,Monaco,2.7,0.9,4,0
Strasbourg,Amiens,0.5,0.4,0,1
Caen,Dijon,1.5,0.6,2,1
Troyes,Toulouse,0.6,0.3,0,0
Montpellier,Nantes,0.5,0.7,0,1
Saint-Étienne,Angers,0.7,2.4,1,1
Lyon,Guingamp,0.8,1.0,2,1
Marseille,Rennes,1.5,2.1,1,3
Toulouse,Bordeaux,1.2,0.8,0,1
Monaco,Strasbourg,2.5,0.9,3,0
Guingamp,Lille,1.6,0.5,1,0
Troyes,Montpellier,0.7,1.1,0,1
Nantes,Caen,0.4,0.3,1,0
Dijon,Saint-Étienne,1.9,1.4,0,1
Amiens,Marseille,0.5,1.5,0,2
