Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Monaco,Nantes,1.5,0.2,1,1
Lyon,Brest,1.4,0.8,1,1
Troyes,Paris S-G,0.9,1.2,1,2
Rennes,Lens,0.7,2.1,1,1
Bordeaux,Clermont Foot,0.7,3.1,0,2
Strasbourg,Angers,0.3,0.9,0,2
Nice,Reims,0.8,0.2,0,0
Saint-Étienne,Lorient,1.9,0.6,1,1
Metz,Lille,0.9,1.3,3,3
Montpellier,Marseille,0.6,1.9,2,3
Lorient,Monaco,0.8,1.1,1,0
Lille,Nice,0.8,1.9,0,4
Paris S-G,Strasbourg,3.1,0.7,4,2
Angers,Lyon,1.8,0.9,3,0
Clermont Foot,Troyes,1.9,0.7,2,0
Brest,Rennes,1.9,1.0,1,1
Nantes,Metz,1.7,0.6,2,0
Reims,Montpellier,1.8,1.8,3,3
Lens,Saint-Étienne,1.3,0.9,2,2
Marseille,Bordeaux,1.0,0.3,2,2
Brest,Paris S-G,1.1,0.9,2,4
Monaco,Lens,0.3,0.5,0,2
Saint-Étienne,Lille,0.5,1.0,1,1
Lyon,Clermont Foot,3.3,1.4,3,3
Strasbourg,Troyes,2.2,1.4,1,1
Metz,Reims,0.5,0.9,1,1
Montpellier,Lorient,3.0,0.6,3,1
Bordeaux,Angers,0.5,0.9,1,1
Rennes,Nantes,0.9,0.5,1,0
Nantes,Lyon,1.4,1.2,0,1
Nice,Bordeaux,3.2,1.1,4,0
Marseille,Saint-Étienne,2.1,1.1,3,1
Troyes,Monaco,0.7,1.9,1,2
Strasbourg,Brest,1.4,0.8,3,1
Angers,Rennes,2.2,0.9,2,0
Lens,Lorient,1.3,1.2,2,2
Clermont Foot,Metz,1.6,1.4,2,2
Lille,Montpellier,1.6,0.6,2,1
Reims,Paris S-G,0.7,1.3,0,2
Lorient,Lille,1.8,1.3,2,1
Paris S-G,Clermont Foot,2.5,0.9,4,0
Monaco,Marseille,0.8,1.6,0,2
Montpellier,Saint-Étienne,1.1,0.8,2,0
Rennes,Reims,0.6,0.5,0,2
Bordeaux,Lens,0.8,2.5,2,3
Brest,Angers,1.3,1.2,1,1
Metz,Troyes,0.7,0.6,0,2
Nantes,Nice,1.7,2.1,0,2
Lyon,Strasbourg,1.6,1.6,3,1
Strasbourg,Metz,2.0,0.6,3,0
Lens,Lille,0.6,0.7,1,0
Saint-Étienne,Bordeaux,1.4,2.3,1,2
Nice,Monaco,1.7,2.4,2,2
Troyes,Montpellier,1.1,0.2,1,1
Clermont Foot,Brest,1.1,0.5,1,1
Reims,Lorient,0.8,0.3,0,0
Angers,Nantes,0.9,2.1,1,4
Marseille,Rennes,2.1,1.5,2,0
Paris S-G,Lyon,2.0,0.8,2,1
Rennes,Clermont Foot,2.4,0.3,6,0
Nantes,Brest,1.3,0.8,3,1
Lille,Reims,0.7,1.3,2,1
Montpellier,Bordeaux,1.3,1.2,3,3
Monaco,Saint-Étienne,1.7,0.4,3,1
Lyon,Troyes,1.8,1.4,3,1
Lens,Strasbourg,1.5,1.1,0,1
Lorient,Nice,0.5,2.2,1,0
Angers,Marseille,0.4,0.7,0,0
Metz,Paris S-G,0.9,1.3,1,2
Saint-Étienne,Nice,0.6,2.2,0,3
Strasbourg,Lille,0.4,2.3,1,2
Paris S-G,Montpellier,2.1,0.2,2,0
Lyon,Lorient,1.3,0.7,1,1
Bordeaux,Rennes,0.7,2.0,1,1
Troyes,Angers,1.0,1.3,1,1
Brest,Metz,1.6,0.6,1,2
Reims,Nantes,1.1,0.6,3,1
Clermont Foot,Monaco,1.1,1.6,1,3
Marseille,Lens,2.0,2.0,2,3
Lens,Reims,2.1,0.1,2,0
Montpellier,Strasbourg,1.1,0.3,1,1
Nice,Brest,3.8,0.6,2,1
Rennes,Paris S-G,1.0,1.5,2,0
Lorient,Clermont Foot,0.5,1.1,1,1
Monaco,Bordeaux,1.6,0.3,3,0
Angers,Metz,2.3,1.1,3,2
Nantes,Troyes,1.9,1.3,2,0
Lille,Marseille,3.0,0.4,2,0
Saint-Étienne,Lyon,2.3,1.3,1,1
Paris S-G,Angers,2.0,1.1,2,1
Clermont Foot,Lille,0.3,0.9,1,0
Lyon,Monaco,2.6,0.6,2,0
Troyes,Nice,0.9,0.6,1,0
Brest,Reims,0.5,0.8,1,1
Bordeaux,Nantes,0.5,1.3,1,1
Metz,Rennes,0.9,2.2,0,3
Strasbourg,Saint-Étienne,2.1,1.0,5,1
Montpellier,Lens,1.5,0.9,1,0
Marseille,Lorient,1.8,2.2,4,1
Saint-Étienne,Angers,1.6,0.5,2,2
Nantes,Clermont Foot,1.3,1.1,2,1
Lille,Brest,1.7,1.2,1,1
Nice,Lyon,2.4,1.4,3,2
Rennes,Strasbourg,1.2,0.9,1,0
Lens,Metz,1.8,0.8,4,1
Lorient,Bordeaux,1.2,1.0,1,1
Reims,Troyes,0.8,0.9,1,2
Monaco,Montpellier,1.3,1.3,3,1
Marseille,Paris S-G,1.1,1.4,0,0
Nice,Marseille,1.5,0.5,1,1
Paris S-G,Lille,2.1,1.8,2,1
Metz,Saint-Étienne,0.4,0.4,1,1
Lyon,Lens,1.9,2.1,2,1
Angers,Nice,1.2,0.8,1,2
Bordeaux,Reims,1.8,1.4,3,2
Troyes,Rennes,1.3,1.3,2,2
Montpellier,Nantes,1.2,1.0,2,0
Strasbourg,Lorient,2.3,1.3,4,0
Brest,Monaco,1.3,0.4,2,0
Clermont Foot,Marseille,0.7,1.0,0,1
Lens,Troyes,3.0,0.5,4,0
Lille,Angers,1.4,1.1,1,1
Bordeaux,Paris S-G,1.4,1.5,2,3
Marseille,Metz,1.3,1.2,0,0
Saint-Étienne,Clermont Foot,1.3,1.1,3,2
Lorient,Brest,1.3,2.6,1,2
Reims,Monaco,0.3,1.0,0,0
Nantes,Strasbourg,2.3,2.1,2,2
Nice,Montpellier,1.4,0.4,0,1
Rennes,Lyon,3.3,1.1,4,1
Monaco,Lille,1.1,2.2,2,2
Paris S-G,Nantes,1.8,1.4,3,1
Rennes,Montpellier,2.9,0.7,2,0
Brest,Lens,1.3,1.5,4,0
Metz,Bordeaux,1.2,2.2,3,3
Angers,Lorient,1.4,0.7,1,0
Troyes,Saint-Étienne,1.1,1.1,0,1
Strasbourg,Reims,1.7,0.9,1,1
Clermont Foot,Nice,0.7,0.6,1,2
Lens,Angers,1.3,1.5,2,2
Lille,Nantes,1.2,0.5,1,1
Nice,Metz,1.2,0.4,0,1
Saint-Étienne,Paris S-G,0.8,2.7,1,3
Reims,Clermont Foot,0.6,0.5,1,0
Lorient,Rennes,0.8,1.3,0,2
Bordeaux,Brest,1.4,2.4,1,2
Monaco,Strasbourg,2.1,1.0,1,1
Montpellier,Lyon,1.2,0.9,0,1
Marseille,Troyes,1.6,0.1,1,0
Angers,Monaco,1.3,3.1,1,3
Troyes,Lorient,1.0,0.4,2,0
Strasbourg,Bordeaux,2.8,1.1,5,2
Brest,Saint-Étienne,1.5,0.6,1,0
Metz,Montpellier,1.3,1.3,1,3
Rennes,Lille,0.8,0.7,1,2
