Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Nice,Lille,1.2,1.3,1,1
Marseille,Reims,1.0,0.8,2,1
Paris S-G,Lorient,1.2,0.1,0,0
Brest,Lens,2.5,0.7,3,2
Nantes,Toulouse,1.1,1.1,1,2
Clermont Foot,Monaco,1.8,2.5,2,4
Montpellier,Le Havre,1.6,1.0,2,2
Rennes,Metz,4.0,0.4,5,1
Strasbourg,Lyon,1.3,1.7,2,1
Metz,Marseille,0.5,1.9,2,2
Lyon,Montpellier,0.4,2.9,1,4
Toulouse,Paris S-G,1.2,2.1,1,1
Lille,Nantes,2.2,1.1,2,0
Reims,Clermont Foot,2.4,0.4,2,0
Le Havre,Brest,1.2,1.1,1,2
Lorient,Nice,0.8,1.7,1,1
Monaco,Strasbourg,0.9,0.5,3,0
Lens,Rennes,1.0,1.4,1,1
Nantes,Monaco,1.0,3.3,3,3
Marseille,Brest,2.9,1.5,2,0
Paris S-G,Lens,1.5,0.5,3,1
Rennes,Le Havre,3.2,0.4,2,2
Strasbourg,Toulouse,3.4,0.3,2,0
Clermont Foot,Metz,0.7,1.1,0,1
Montpellier,Reims,0.9,1.4,1,3
Lorient,Lille,1.6,1.1,4,1
Nice,Lyon,1.9,0.2,0,0
Nantes,Marseille,0.9,2.6,1,1
Brest,Rennes,1.4,0.3,0,0
Monaco,Lens,0.9,0.6,3,0
Toulouse,Clermont Foot,0.6,1.8,2,2
Lille,Montpellier,1.2,0.3,1,0
Le Havre,Lorient,2.0,0.7,3,0
Metz,Reims,1.1,0.7,2,2
Nice,Strasbourg,2.2,0.2,2,0
Lyon,Paris S-G,2.1,4.5,1,4
Paris S-G,Nice,1.0,1.3,2,3
Rennes,Lille,0.5,1.0,2,2
Lens,Metz,2.0,0.3,0,1
Lorient,Monaco,0.9,1.7,2,2
Clermont Foot,Nantes,1.3,0.6,0,1
Strasbourg,Montpellier,2.3,1.1,2,2
Reims,Brest,1.7,1.5,1,2
Marseille,Toulouse,1.5,0.7,0,0
Lyon,Le Havre,1.5,0.8,0,0
Monaco,Nice,1.8,0.9,0,1
Nantes,Lorient,2.1,1.7,5,3
Brest,Lyon,2.4,0.4,1,0
Metz,Strasbourg,1.1,0.4,0,1
Lens,Toulouse,2.5,0.4,2,1
Le Havre,Clermont Foot,1.3,0.9,2,1
Montpellier,Rennes,1.5,0.9,0,0
Paris S-G,Marseille,1.9,0.7,4,0
Lille,Reims,1.2,0.5,1,2
Strasbourg,Lens,0.3,0.8,0,1
Clermont Foot,Paris S-G,1.0,3.0,0,0
Monaco,Marseille,1.0,1.0,3,2
Reims,Lyon,2.0,0.7,2,0
Nice,Brest,1.1,0.2,0,0
Toulouse,Metz,1.3,0.7,3,0
Le Havre,Lille,0.8,1.2,0,2
Lorient,Montpellier,1.0,2.8,0,3
Rennes,Nantes,2.7,1.0,3,1
Strasbourg,Nantes,0.7,1.9,1,2
Metz,Nice,0.4,1.4,0,1
Reims,Monaco,1.5,1.2,1,3
Marseille,Le Havre,2.8,0.2,3,0
Lyon,Lorient,1.4,1.1,3,3
Brest,Toulouse,1.5,1.2,1,1
Lens,Lille,2.0,1.7,1,1
Rennes,Paris S-G,1.1,3.5,1,3
Le Havre,Lens,1.6,1.6,0,0
Paris S-G,Strasbourg,2.0,0.4,3,0
Nice,Marseille,0.6,1.1,1,0
Lorient,Rennes,0.6,0.9,2,1
Nantes,Montpellier,1.5,0.5,2,0
Lille,Brest,1.6,0.8,1,0
Toulouse,Reims,0.8,1.3,1,1
Monaco,Metz,2.0,1.0,2,1
Lyon,Clermont Foot,1.7,1.0,1,2
Clermont Foot,Nice,0.5,2.2,0,1
Reims,Lorient,0.8,0.4,1,0
Lens,Nantes,3.7,1.0,4,0
Brest,Paris S-G,1.8,2.1,2,3
Metz,Le Havre,0.5,0.7,0,0
Montpellier,Toulouse,3.0,1.2,3,0
Lille,Monaco,0.5,0.6,2,0
Rennes,Strasbourg,1.1,1.0,1,1
Paris S-G,Montpellier,1.1,0.5,3,0
Lorient,Lens,0.5,0.6,0,0
Marseille,Lille,0.8,0.3,0,0
Lyon,Metz,1.9,0.7,1,1
Strasbourg,Clermont Foot,1.0,0.9,0,0
Nantes,Reims,1.8,1.1,0,1
