HG,HXG,HGC,HXGC,AG,AXG,AGC,AXGC,outcome,hometeam,awayteam,season,empty
0.8125,1.1500000000000004,1.25,1.2062499999999998,2.25,2.1437500000000007,0.6875,0.8875,A,Stuttgart,Bayern Munich,2017-2018,
1.125,1.0250000000000004,1.0,1.1437499999999998,1.625,1.4562500000000003,1.1875,1.21875,D,Eint Frankfurt,Schalke 04,2017-2018,
0.7647058823529411,1.1529411764705886,1.2352941176470589,1.2294117647058822,1.5294117647058822,1.0705882352941176,1.4705882352941178,1.4176470588235297,H,Stuttgart,Hertha BSC,2017-2018,
1.4444444444444444,1.0666666666666667,1.4444444444444444,1.3555555555555558,2.1666666666666665,2.2222222222222228,1.3333333333333333,1.1777777777777776,D,Hertha BSC,Dortmund,2017-2018,
1.1666666666666667,0.9888888888888889,1.7222222222222223,1.5111111111111113,0.7777777777777778,1.1055555555555558,1.1666666666666667,1.2166666666666666,H,Mainz 05,Stuttgart,2017-2018,
1.263157894736842,1.1210526315789475,1.0526315789473684,1.1105263157894736,1.5789473684210527,1.5315789473684212,1.5789473684210527,1.4789473684210528,H,Eint Frankfurt,Gladbach,2017-2018,
1.631578947368421,1.494736842105263,1.4736842105263157,1.2578947368421052,0.7894736842105263,0.9526315789473683,1.4736842105263157,1.5210526315789474,D,RB Leipzig,Hamburger SV,2017-2018,
0.8421052631578947,1.0894736842105264,1.3157894736842106,1.4,1.4210526315789473,1.0578947368421052,1.4210526315789473,1.3684210526315794,D,Werder Bremen,Hertha BSC,2017-2018,
0.75,1.3300000000000005,1.7,2.0349999999999997,2.1,2.12,1.35,1.1449999999999998,A,Kï¿½ln,Dortmund,2017-2018,
1.35,1.0499999999999998,1.35,1.3800000000000006,1.55,1.2149999999999999,1.6,1.5150000000000001,D,Hertha BSC,Hoffenheim,2017-2018,
1.5,1.53,1.6,1.485,1.6,1.4749999999999999,1.45,1.255,A,Gladbach,RB Leipzig,2017-2018,
1.3809523809523807,1.4047619047619047,1.4761904761904763,1.4809523809523806,1.0476190476190477,1.161904761904762,1.6666666666666667,1.3666666666666667,H,Hannover 96,Freiburg,2017-2018,
1.3636363636363635,1.0590909090909089,1.2727272727272727,1.4227272727272733,1.1818181818181819,1.0590909090909095,1.8636363636363635,1.5318181818181822,A,Hertha BSC,Mainz 05,2017-2018,
1.0454545454545454,1.1681818181818182,1.6818181818181819,1.3499999999999999,0.9545454545454546,1.1454545454545455,1.2272727272727273,1.3499999999999999,H,Freiburg,Werder Bremen,2017-2018,
1.1363636363636365,1.0909090909090908,1.2727272727272727,1.5045454545454546,2.4090909090909087,2.0454545454545454,0.7727272727272727,0.9045454545454544,A,Wolfsburg,Bayern Munich,2017-2018,
2.3913043478260865,2.095652173913044,0.782608695652174,0.8739130434782608,1.3043478260869563,1.034782608695652,1.3043478260869565,1.421739130434783,D,Bayern Munich,Hertha BSC,2017-2018,
2.0869565217391304,2.0782608695652174,1.2608695652173914,1.2086956521739127,1.391304347826087,1.478260869565217,1.2608695652173914,1.1347826086956518,D,Dortmund,Augsburg,2017-2018,
1.5416666666666667,1.4874999999999998,1.375,1.241666666666667,2.0416666666666665,2.0416666666666665,1.25,1.2124999999999997,D,RB Leipzig,Dortmund,2017-2018,
1.8,1.632,1.3200000000000003,1.1320000000000003,1.32,1.5360000000000003,1.48,1.4280000000000002,H,Leverkusen,Gladbach,2017-2018,
2.0,2.028,1.24,1.2079999999999997,1.3199999999999996,1.1760000000000002,1.0800000000000003,1.204,H,Dortmund,Eint Frankfurt,2017-2018,
0.96,1.12,1.2,1.3639999999999999,0.96,1.3120000000000005,1.84,1.972,H,Werder Bremen,Kï¿½ln,2017-2018,
1.3846153846153846,1.4769230769230766,1.2692307692307692,1.1576923076923076,1.0384615384615385,1.1307692307692307,1.1923076923076923,1.3307692307692305,A,Augsburg,Werder Bremen,2017-2018,
1.3461538461538458,1.1730769230769234,1.1538461538461542,1.2,1.1153846153846152,1.0269230769230773,1.6538461538461537,1.4576923076923083,H,Eint Frankfurt,Mainz 05,2017-2018,
1.2222222222222223,1.3259259259259262,1.4444444444444444,1.5629629629629624,1.4814814814814814,1.4999999999999998,1.2962962962962963,1.2555555555555558,A,Hannover 96,RB Leipzig,2017-2018,
2.4444444444444438,2.1555555555555554,0.7407407407407407,0.874074074074074,2.0,2.0444444444444447,1.2222222222222223,1.185185185185185,H,Bayern Munich,Dortmund,2017-2018,
1.2857142857142858,1.5035714285714288,1.5,1.4678571428571427,1.1428571428571426,1.0357142857142854,1.1428571428571428,1.3285714285714287,H,Gladbach,Hertha BSC,2017-2018,
1.8275862068965518,1.3137931034482757,1.4482758620689655,1.3862068965517242,0.7931034482758621,1.0172413793103445,1.5862068965517242,1.6310344827586207,H,Hoffenheim,Hamburger SV,2017-2018,
2.6206896551724133,2.2241379310344827,0.7241379310344828,0.8586206896551722,1.3103448275862069,1.4965517241379311,1.4827586206896552,1.4999999999999998,H,Bayern Munich,Gladbach,2017-2018,
1.7741935483870968,1.6161290322580641,1.3225806451612905,1.17741935483871,0.9354838709677419,1.1483870967741938,1.1290322580645167,1.1677419354838707,A,Leverkusen,Stuttgart,2017-2018,
1.096774193548387,1.1677419354838707,1.2258064516129032,1.3258064516129031,1.967741935483871,1.9838709677419357,1.3225806451612903,1.2387096774193547,D,Werder Bremen,Dortmund,2017-2018,
1.34375,1.4781250000000004,1.53125,1.5124999999999995,0.90625,1.1437499999999998,1.65625,1.353125,H,Gladbach,Freiburg,2017-2018,
1.21875,1.303125,1.5625,1.5812499999999996,1.2499999999999998,1.1374999999999995,1.15625,1.3125000000000002,H,Hannover 96,Hertha BSC,2017-2018,
1.6666666666666667,1.3800000000000003,1.6666666666666667,1.9200000000000002,2.0,2.1933333333333334,1.4,1.5333333333333334,D,Werder Bremen,Hoffenheim,2018-2019,
2.1333333333333333,2.1799999999999997,1.2,0.8466666666666666,1.8666666666666667,2.113333333333333,0.9333333333333333,1.1333333333333333,H,Bayern Munich,RB Leipzig,2018-2019,
2.625,1.7937499999999997,1.0625,1.1437499999999998,2.1875,1.8062500000000001,1.0,1.5062500000000005,H,Dortmund,Gladbach,2018-2019,
1.4375,1.5937500000000002,1.625,1.5875,1.5,1.2874999999999999,1.25,1.1875,A,Augsburg,Wolfsburg,2018-2019,
1.8823529411764706,2.188235294117647,1.3529411764705883,1.5588235294117647,2.1176470588235294,2.135294117647059,1.0588235294117647,0.8352941176470587,A,Hoffenheim,Bayern Munich,2018-2019,
