HG,HXG,HGC,HXGC,AG,AXG,AGC,AXGC,outcome,hometeam,awayteam,season,empty
1.9333333333333333,1.5599999999999996,1.2666666666666666,1.1466666666666667,0.7333333333333333,1.04,1.1333333333333333,1.3533333333333333,H,Leverkusen,Werder Bremen,2017-2018,
2.2941176470588234,2.2,1.411764705882353,1.1882352941176468,1.2352941176470589,1.1529411764705881,1.2352941176470589,1.4470588235294115,D,Dortmund,Wolfsburg,2017-2018,
1.0,1.2333333333333334,1.7777777777777777,1.4611111111111112,1.6666666666666667,1.5388888888888888,1.4444444444444444,1.2944444444444443,H,Freiburg,RB Leipzig,2017-2018,
0.8333333333333334,0.9555555555555555,1.4444444444444444,1.5222222222222224,0.6666666666666666,1.3333333333333337,1.8333333333333333,2.1555555555555554,A,Hamburger SV,Kï¿½ln,2017-2018,
2.2222222222222223,2.061111111111112,0.6666666666666666,0.8944444444444444,0.7777777777777778,1.1000000000000003,1.1666666666666667,1.3722222222222222,H,Bayern Munich,Werder Bremen,2017-2018,
2.1052631578947367,2.189473684210527,1.3157894736842106,1.1631578947368417,1.0526315789473684,1.2000000000000002,1.736842105263158,1.4210526315789476,D,Dortmund,Freiburg,2017-2018,
1.6,1.4500000000000002,1.25,1.2600000000000002,0.8,1.1150000000000002,1.25,1.3749999999999998,A,Schalke 04,Werder Bremen,2017-2018,
1.1,1.1800000000000002,1.75,1.3900000000000001,2.05,1.64,1.35,1.1,D,Freiburg,Leverkusen,2017-2018,
2.142857142857143,2.1285714285714286,1.380952380952381,1.1857142857142855,0.8095238095238095,0.9857142857142855,1.4285714285714286,1.4952380952380953,H,Dortmund,Hamburger SV,2017-2018,
1.5454545454545454,1.381818181818182,1.3181818181818183,1.290909090909091,1.6363636363636365,1.2954545454545452,1.5909090909090908,1.4863636363636366,H,Schalke 04,Hoffenheim,2017-2018,
0.9130434782608695,1.1130434782608696,1.2173913043478262,1.3695652173913042,0.782608695652174,0.9869565217391303,1.4782608695652173,1.6086956521739126,H,Werder Bremen,Hamburger SV,2017-2018,
1.565217391304348,1.460869565217391,1.3478260869565217,1.2434782608695654,0.8695652173913043,1.31304347826087,1.826086956521739,2.017391304347826,A,RB Leipzig,Kï¿½ln,2017-2018,
0.75,0.9624999999999998,1.4583333333333333,1.570833333333333,1.2083333333333333,1.0625000000000004,1.75,1.4833333333333336,D,Hamburger SV,Mainz 05,2017-2018,
1.375,1.470833333333333,1.25,1.1374999999999995,1.5833333333333333,1.2458333333333331,1.5833333333333333,1.4458333333333335,A,Augsburg,Hoffenheim,2017-2018,
0.92,1.1480000000000004,1.1600000000000004,1.2280000000000002,1.52,1.472,1.36,1.2600000000000002,D,Stuttgart,RB Leipzig,2017-2018,
0.6923076923076923,0.9692307692307691,1.5769230769230769,1.65,1.1538461538461535,1.015384615384615,1.1923076923076923,1.353846153846154,A,Hamburger SV,Hertha BSC,2017-2018,
1.2692307692307692,1.5038461538461543,1.5,1.4807692307692308,1.6538461538461537,1.269230769230769,1.4615384615384615,1.3653846153846154,D,Gladbach,Hoffenheim,2017-2018,
2.0384615384615383,1.9923076923076926,1.2692307692307692,1.2038461538461536,1.2692307692307692,1.35,1.4615384615384615,1.492307692307692,H,Dortmund,Hannover 96,2017-2018,
1.1111111111111112,1.1592592592592592,1.1851851851851851,1.3037037037037036,1.4074074074074072,1.2259259259259263,1.1111111111111114,1.1777777777777778,H,Werder Bremen,Eint Frankfurt,2017-2018,
1.25,1.3285714285714287,1.5,1.6035714285714282,1.1428571428571428,1.15,1.1785714285714286,1.2892857142857141,H,Hannover 96,Werder Bremen,2017-2018,
1.7586206896551724,1.6310344827586203,1.2413793103448278,1.1068965517241383,1.3793103448275859,1.231034482758621,1.137931034482759,1.1482758620689657,H,Leverkusen,Eint Frankfurt,2017-2018,
0.896551724137931,1.1310344827586212,1.1724137931034488,1.182758620689655,1.2758620689655173,1.3344827586206898,1.4827586206896552,1.6137931034482755,D,Stuttgart,Hannover 96,2017-2018,
1.2666666666666666,1.3533333333333328,1.3333333333333333,1.19,1.0666666666666667,1.0333333333333339,1.5666666666666667,1.4400000000000004,H,Augsburg,Mainz 05,2017-2018,
0.9666666666666667,1.2800000000000002,1.9333333333333333,1.8933333333333333,1.5666666666666667,1.3166666666666669,1.1,1.22,D,Kï¿½ln,Schalke 04,2017-2018,
1.935483870967742,1.4451612903225803,1.4193548387096775,1.3645161290322583,1.2258064516129032,1.2903225806451613,1.5161290322580645,1.5838709677419351,H,Hoffenheim,Hannover 96,2017-2018,
0.9677419354838712,0.9935483870967743,1.2903225806451613,1.4806451612903226,0.7741935483870968,1.0258064516129028,1.5483870967741935,1.670967741935484,A,Wolfsburg,Hamburger SV,2017-2018,
1.032258064516129,1.012903225806452,1.5806451612903225,1.4645161290322586,1.5161290322580645,1.5387096774193547,1.5161290322580645,1.3483870967741938,H,Mainz 05,RB Leipzig,2017-2018,
0.875,1.0750000000000002,2.3125,1.6562499999999998,1.25,1.3875000000000002,1.5625,1.7,A,Nï¿½rnberg,Freiburg,2018-2019,
1.4375,1.425,1.75,1.6250000000000002,1.5625,1.5125000000000002,1.5,2.00625,H,Leverkusen,Hertha BSC,2018-2019,
2.0,1.7058823529411766,1.3529411764705883,1.3294117647058827,1.2352941176470589,1.323529411764706,1.4705882352941178,1.6647058823529413,H,Eint Frankfurt,Freiburg,2018-2019,
1.4705882352941178,1.5294117647058825,1.7058823529411764,1.6176470588235294,1.1176470588235294,1.2647058823529413,1.9411764705882353,1.7529411764705884,A,Augsburg,Dï¿½sseldorf,2018-2019,
