HG,HXG,HGC,HXGC,AG,AXG,AGC,AXGC,outcome,hometeam,awayteam,season,empty
1.3333333333333333,0.9599999999999999,1.4666666666666666,1.3000000000000003,1.2666666666666662,1.2666666666666666,1.2666666666666666,1.5733333333333333,H,Hertha BSC,Hannover 96,2017-2018,
0.6875,0.9937500000000001,1.125,1.41875,1.0625,1.0062499999999999,1.625,1.45,D,Werder Bremen,Mainz 05,2017-2018,
2.3125,2.1250000000000004,1.4375,1.1874999999999998,1.625,1.275,1.25,1.19375,H,Dortmund,Hoffenheim,2017-2018,
1.2499999999999996,1.31875,1.375,1.61875,1.875,1.6124999999999996,1.1875,1.09375,D,Hannover 96,Leverkusen,2017-2018,
1.5625,1.4312500000000001,1.375,1.3249999999999997,1.4375,1.04375,1.4375,1.3500000000000003,A,RB Leipzig,Hertha BSC,2017-2018,
2.0,1.6470588235294112,1.3529411764705883,1.1705882352941175,2.176470588235294,2.111764705882354,0.6470588235294118,0.9058823529411764,A,Leverkusen,Bayern Munich,2017-2018,
1.1764705882352942,1.0647058823529414,1.0588235294117647,1.1823529411764704,1.0,1.2999999999999998,1.8235294117647058,1.4588235294117649,D,Eint Frankfurt,Freiburg,2017-2018,
1.4117647058823526,1.3823529411764706,1.5294117647058822,1.6529411764705881,1.1176470588235294,1.011764705882353,1.6470588235294117,1.4588235294117649,H,Hannover 96,Mainz 05,2017-2018,
1.588235294117647,1.4941176470588236,1.4705882352941178,1.3352941176470585,1.6470588235294117,1.4764705882352944,1.2352941176470589,1.2470588235294118,H,RB Leipzig,Schalke 04,2017-2018,
1.6111111111111112,1.427777777777778,1.3333333333333333,1.3055555555555556,1.4999999999999996,1.4388888888888889,1.5555555555555556,1.5944444444444443,D,Schalke 04,Hannover 96,2017-2018,
2.0526315789473686,1.6315789473684208,1.4210526315789473,1.1526315789473685,1.263157894736842,1.0842105263157895,1.736842105263158,1.4894736842105265,H,Leverkusen,Mainz 05,2017-2018,
1.4736842105263155,1.4210526315789473,1.5263157894736843,1.5473684210526315,1.1578947368421053,1.1315789473684208,1.263157894736842,1.5210526315789472,A,Hannover 96,Wolfsburg,2017-2018,
1.45,1.5,1.3,1.1099999999999999,1.3,1.1450000000000002,1.0,1.13,H,Augsburg,Eint Frankfurt,2017-2018,
1.9523809523809523,1.6047619047619046,1.2857142857142858,1.0857142857142859,1.3333333333333333,1.0523809523809522,1.3333333333333333,1.40952380952381,A,Leverkusen,Hertha BSC,2017-2018,
1.2380952380952381,1.1095238095238098,1.0952380952380953,1.2095238095238094,0.8095238095238095,1.3619047619047624,1.7619047619047619,2.0476190476190474,H,Eint Frankfurt,Kï¿½ln,2017-2018,
2.4285714285714284,2.0761904761904764,0.7619047619047619,0.9190476190476189,1.5714285714285714,1.4190476190476193,1.2857142857142858,1.2857142857142858,H,Bayern Munich,Schalke 04,2017-2018,
0.8636363636363636,1.3590909090909096,1.8636363636363635,2.059090909090909,1.409090909090909,1.3863636363636362,1.4545454545454546,1.4727272727272724,D,Kï¿½ln,Hannover 96,2017-2018,
1.3636363636363635,1.1636363636363638,1.1363636363636365,1.2136363636363636,1.5909090909090908,1.5045454545454542,1.3181818181818181,1.2272727272727273,H,Eint Frankfurt,RB Leipzig,2017-2018,
1.3913043478260867,1.3739130434782607,1.434782608695652,1.4217391304347822,1.3043478260869563,1.5043478260869565,1.5217391304347827,1.4000000000000001,A,Hannover 96,Gladbach,2017-2018,
1.5833333333333333,1.4125000000000003,1.2500000000000002,1.2291666666666667,1.2499999999999998,0.9999999999999999,1.25,1.4375000000000002,H,Schalke 04,Hertha BSC,2017-2018,
1.333333333333333,1.1458333333333337,1.1250000000000002,1.225,1.333333333333333,1.3916666666666666,1.4166666666666667,1.4291666666666663,H,Eint Frankfurt,Hannover 96,2017-2018,
0.9166666666666666,1.3083333333333338,1.7916666666666667,2.0208333333333335,0.8333333333333334,1.1625000000000003,1.1250000000000002,1.2208333333333334,A,Kï¿½ln,Stuttgart,2017-2018,
0.9615384615384616,1.126923076923077,1.6153846153846154,1.323076923076923,0.8846153846153846,1.1423076923076927,1.1153846153846159,1.2153846153846155,A,Freiburg,Stuttgart,2017-2018,
1.4615384615384615,1.4499999999999997,1.3076923076923077,1.2500000000000002,2.4999999999999996,2.184615384615385,0.6923076923076923,0.7999999999999999,H,RB Leipzig,Bayern Munich,2017-2018,
1.7037037037037037,1.2888888888888885,1.5185185185185186,1.3962962962962964,1.0,1.2851851851851857,1.8148148148148149,1.9074074074074072,H,Hoffenheim,Kï¿½ln,2017-2018,
1.5185185185185186,1.314814814814815,1.1111111111111112,1.2185185185185186,0.9629629629629629,1.0999999999999999,1.6296296296296295,1.3296296296296295,H,Schalke 04,Freiburg,2017-2018,
1.7407407407407407,1.6444444444444442,1.2962962962962965,1.1259259259259262,1.3703703703703705,1.4444444444444442,1.3333333333333333,1.1851851851851851,D,Leverkusen,Augsburg,2017-2018,
1.185185185185185,1.0555555555555554,1.1851851851851851,1.337037037037037,1.0370370370370372,1.0333333333333334,1.3703703703703705,1.537037037037037,D,Hertha BSC,Wolfsburg,2017-2018,
1.074074074074074,1.0111111111111115,1.7037037037037037,1.5000000000000004,1.3333333333333333,1.5296296296296301,1.5555555555555556,1.4925925925925925,D,Mainz 05,Gladbach,2017-2018,
0.9642857142857143,1.267857142857143,1.9642857142857142,1.9357142857142855,1.0357142857142856,1.003571428571429,1.6428571428571428,1.4750000000000003,D,Kï¿½ln,Mainz 05,2017-2018,
0.7142857142857143,0.9642857142857141,1.5714285714285714,1.6500000000000001,1.5357142857142858,1.3357142857142859,1.0714285714285714,1.1821428571428572,H,Hamburger SV,Schalke 04,2017-2018,
1.5517241379310345,1.327586206896552,1.1379310344827587,1.2275862068965517,1.9655172413793103,1.9655172413793105,1.3448275862068966,1.272413793103448,H,Schalke 04,Dortmund,2017-2018,
1.1379310344827587,1.175862068965517,1.206896551724138,1.2965517241379307,1.5172413793103448,1.5344827586206895,1.4137931034482758,1.2827586206896553,D,Werder Bremen,RB Leipzig,2017-2018,
