Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Inter,Genoa,1.6,1.1,4,0
Hellas Verona,Sassuolo,2.4,1.6,2,3
Torino,Atalanta,1.3,0.7,1,2
Empoli,Lazio,1.2,1.5,1,3
Bologna,Salernitana,1.6,1.5,3,2
Udinese,Juventus,1.6,0.8,2,2
Napoli,Venezia,2.2,0.6,2,0
Roma,Fiorentina,2.7,1.3,3,1
Cagliari,Spezia,2.8,0.8,2,2
Sampdoria,Milan,1.1,0.9,0,1
Udinese,Venezia,2.2,1.2,3,0
Hellas Verona,Inter,1.0,1.5,1,3
Atalanta,Bologna,0.9,0.3,0,0
Lazio,Spezia,3.0,1.0,6,1
Fiorentina,Torino,0.8,0.4,2,1
Juventus,Empoli,1.2,0.7,0,1
Sassuolo,Sampdoria,1.6,0.5,0,0
Genoa,Napoli,0.4,1.1,1,2
Milan,Cagliari,2.7,0.6,4,1
Salernitana,Roma,0.3,2.1,0,4
Empoli,Venezia,1.9,1.7,1,2
Napoli,Juventus,2.1,1.2,2,1
Atalanta,Fiorentina,2.2,1.8,1,2
Sampdoria,Inter,1.1,1.1,2,2
Cagliari,Genoa,1.6,1.2,2,3
Torino,Salernitana,2.4,0.3,4,0
Spezia,Udinese,1.0,0.9,0,1
Milan,Lazio,2.9,0.3,2,0
Roma,Sassuolo,2.1,2.0,2,1
Bologna,Hellas Verona,1.1,0.3,1,0
Sassuolo,Torino,0.7,2.0,0,1
Genoa,Fiorentina,1.1,0.9,1,2
Inter,Bologna,2.8,0.5,6,1
Salernitana,Atalanta,0.7,1.6,0,1
Empoli,Sampdoria,1.4,1.0,0,3
Venezia,Spezia,0.9,0.4,1,2
Lazio,Cagliari,2.0,1.5,2,2
Hellas Verona,Roma,0.9,0.7,3,2
Juventus,Milan,1.3,0.8,1,1
Udinese,Napoli,0.3,2.9,0,4
Bologna,Genoa,2.3,1.5,2,2
Fiorentina,Inter,1.6,2.2,1,3
Atalanta,Sassuolo,1.9,0.9,2,1
Spezia,Juventus,1.0,2.3,2,3
Salernitana,Hellas Verona,2.7,1.4,2,2
Cagliari,Empoli,1.0,0.9,0,2
Milan,Venezia,1.6,0.8,2,0
Torino,Lazio,0.8,0.9,1,1
Sampdoria,Napoli,0.7,1.5,0,4
Roma,Udinese,1.9,0.6,1,0
