Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Parma,Juventus,0.3,1.4,0,1
Fiorentina,Napoli,1.7,2.0,3,4
Udinese,Milan,0.8,0.7,1,0
SPAL,Atalanta,1.6,1.8,2,3
Roma,Genoa,2.5,1.3,3,3
Torino,Sassuolo,1.2,1.3,2,1
Hellas Verona,Bologna,0.2,1.8,1,1
Sampdoria,Lazio,0.7,1.8,0,3
Cagliari,Brescia,1.2,1.3,0,1
Inter,Lecce,1.7,0.6,4,0
Bologna,SPAL,4.0,0.8,1,0
Milan,Brescia,1.5,0.7,1,0
Juventus,Napoli,1.8,1.4,4,3
Lazio,Roma,2.2,1.3,1,1
Sassuolo,Sampdoria,2.2,1.3,4,1
Udinese,Parma,1.4,1.3,1,3
Genoa,Fiorentina,2.1,1.9,2,1
Cagliari,Inter,0.5,1.7,1,2
Lecce,Hellas Verona,0.9,1.4,0,1
Atalanta,Torino,1.8,0.8,2,3
Fiorentina,Juventus,1.8,0.4,0,0
Napoli,Sampdoria,1.6,2.2,2,0
Inter,Udinese,1.6,0.3,1,0
Genoa,Atalanta,1.4,2.5,1,2
Brescia,Bologna,1.3,3.0,3,4
SPAL,Lazio,1.3,1.4,2,1
Parma,Cagliari,1.8,0.5,1,3
Roma,Sassuolo,2.6,1.3,4,2
Hellas Verona,Milan,0.5,1.4,0,1
Torino,Lecce,2.0,1.1,1,2
Cagliari,Genoa,1.2,1.1,3,1
Udinese,Brescia,0.6,0.8,0,1
Juventus,Hellas Verona,1.9,1.6,2,1
Milan,Inter,1.0,2.1,0,2
Sassuolo,SPAL,1.6,1.1,3,0
Bologna,Roma,1.3,1.5,1,2
Sampdoria,Torino,1.6,0.3,1,0
Lecce,Napoli,1.5,2.9,1,4
Atalanta,Fiorentina,1.6,1.0,2,2
Lazio,Parma,1.7,0.5,2,0
Hellas Verona,Udinese,1.0,0.6,0,0
Brescia,Juventus,0.7,1.7,1,2
Roma,Atalanta,1.8,1.8,0,2
Fiorentina,Sampdoria,1.6,0.5,2,1
Napoli,Cagliari,2.0,0.5,0,1
Genoa,Bologna,0.3,1.7,0,0
Inter,Lazio,1.5,1.2,1,0
SPAL,Lecce,1.0,2.2,1,3
Parma,Sassuolo,1.7,0.5,1,0
Torino,Milan,1.2,2.8,2,1
Juventus,SPAL,2.0,0.2,2,0
Sampdoria,Inter,1.1,2.2,1,3
Sassuolo,Atalanta,0.5,2.3,1,4
Napoli,Brescia,2.0,1.1,2,1
Udinese,Bologna,0.7,1.3,1,0
Lecce,Roma,0.7,2.1,0,1
Lazio,Genoa,1.4,0.9,4,0
Cagliari,Hellas Verona,1.8,1.6,1,1
Milan,Fiorentina,0.6,2.5,1,3
Parma,Torino,3.6,2.2,3,2
SPAL,Parma,1.2,0.4,1,0
Hellas Verona,Sampdoria,0.7,0.8,2,0
Genoa,Milan,1.6,1.6,1,2
Fiorentina,Udinese,1.1,0.9,1,0
Bologna,Lazio,3.2,1.8,2,2
Roma,Cagliari,1.7,1.1,1,1
Atalanta,Lecce,3.4,1.3,3,1
Torino,Napoli,0.6,0.9,0,0
Inter,Juventus,1.6,1.5,1,2
Lazio,Atalanta,2.9,2.6,3,3
Napoli,Hellas Verona,2.4,1.7,2,0
Juventus,Bologna,2.0,0.9,2,1
Sassuolo,Inter,0.7,2.6,3,4
Udinese,Torino,1.7,0.6,1,0
Cagliari,SPAL,1.0,0.7,2,0
Sampdoria,Roma,0.6,0.5,0,0
Parma,Genoa,2.2,1.5,5,1
Milan,Lecce,1.8,1.4,2,2
Brescia,Fiorentina,0.5,0.8,0,0
Hellas Verona,Sassuolo,1.3,1.4,0,1
Lecce,Juventus,1.1,3.6,1,1
Inter,Parma,2.5,1.0,2,2
Genoa,Brescia,1.1,1.2,3,1
Bologna,Sampdoria,1.9,0.6,2,1
SPAL,Napoli,0.7,0.8,1,1
Atalanta,Udinese,5.4,0.4,7,1
Torino,Cagliari,1.2,0.5,1,1
Roma,Milan,1.1,0.6,2,1
Fiorentina,Lazio,0.6,2.1,1,2
Parma,Hellas Verona,1.4,0.3,0,1
Brescia,Inter,1.8,0.8,1,2
Napoli,Atalanta,2.7,1.8,2,2
Juventus,Genoa,2.7,0.4,2,1
Lazio,Torino,2.1,0.8,4,0
Sassuolo,Fiorentina,0.8,1.0,1,2
Udinese,Roma,0.7,3.2,0,4
Sampdoria,Lecce,1.6,1.0,1,1
Cagliari,Bologna,1.2,1.1,3,2
Milan,SPAL,2.0,0.5,1,0
Roma,Napoli,2.2,1.7,2,1
Bologna,Inter,0.5,2.3,1,2
Torino,Juventus,0.4,1.2,0,1
Atalanta,Cagliari,1.2,0.9,0,2
Hellas Verona,Brescia,0.9,0.9,2,1
Genoa,Udinese,1.2,1.4,1,3
Lecce,Sassuolo,0.4,2.2,2,2
Fiorentina,Parma,1.4,0.7,1,1
Milan,Lazio,0.8,1.0,1,2
SPAL,Sampdoria,0.6,0.8,0,1
Sassuolo,Bologna,2.2,0.6,3,1
Brescia,Torino,0.6,3.3,0,4
Inter,Hellas Verona,2.4,1.3,2,1
Napoli,Genoa,1.3,1.2,0,0
Cagliari,Fiorentina,2.8,1.0,5,2
Udinese,SPAL,1.7,2.1,0,0
Sampdoria,Atalanta,1.1,0.6,0,0
Lazio,Lecce,3.8,2.5,4,2
Parma,Roma,0.9,0.8,2,0
Juventus,Milan,1.0,0.8,1,0
Atalanta,Juventus,2.7,1.2,1,3
Milan,Napoli,0.9,1.2,1,1
Torino,Inter,0.6,1.4,0,3
Bologna,Parma,0.9,1.3,2,2
Hellas Verona,Fiorentina,1.4,0.8,1,0
Sassuolo,Lazio,1.0,0.9,1,2
Roma,Brescia,2.2,0.4,3,0
Sampdoria,Udinese,2.2,0.3,2,1
Lecce,Cagliari,3.4,1.0,2,2
SPAL,Genoa,2.5,1.5,1,1
Brescia,Atalanta,1.2,2.7,0,3
Genoa,Torino,1.0,1.4,0,1
Fiorentina,Lecce,1.5,1.1,0,1
Juventus,Sassuolo,4.6,0.7,2,2
Lazio,Udinese,2.9,0.7,3,0
Parma,Milan,0.3,1.8,0,1
Inter,SPAL,1.9,1.2,2,1
Napoli,Bologna,2.1,1.2,1,2
Hellas Verona,Roma,1.0,1.6,1,3
Cagliari,Sampdoria,0.8,1.3,4,3
Inter,Roma,1.5,0.2,0,0
Atalanta,Hellas Verona,2.4,0.9,3,2
Udinese,Napoli,0.5,1.1,1,1
Lazio,Juventus,3.0,1.6,3,1
Lecce,Genoa,1.1,2.2,2,2
SPAL,Brescia,2.2,1.9,0,1
Sassuolo,Cagliari,1.8,0.5,2,2
Torino,Fiorentina,0.9,1.9,2,1
Sampdoria,Parma,2.0,0.6,0,1
Bologna,Milan,1.4,2.3,2,3
Brescia,Lecce,3.6,1.3,3,0
Napoli,Parma,2.2,1.2,1,2
Genoa,Sampdoria,1.0,0.3,0,1
Hellas Verona,Torino,2.4,1.6,3,3
Bologna,Atalanta,1.3,2.4,2,1
Milan,Sassuolo,2.2,1.0,0,0
Juventus,Udinese,1.6,1.4,3,1
Roma,SPAL,3.3,1.1,3,1
Fiorentina,Inter,0.7,0.8,1,1
Cagliari,Lazio,1.5,2.0,1,2
Sampdoria,Juventus,0.7,0.9,1,2
Brescia,Sassuolo,1.5,0.6,0,2
