Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Sampdoria,Atalanta,1.0,2.2,0,2
Milan,Udinese,2.3,0.5,4,2
Monza,Torino,1.4,2.1,1,2
Lecce,Inter,0.7,2.1,1,2
Fiorentina,Cremonese,2.0,1.3,3,2
Lazio,Bologna,0.7,1.5,2,1
Spezia,Empoli,0.5,0.7,1,0
Salernitana,Roma,0.6,2.4,0,1
Hellas Verona,Napoli,1.1,2.4,2,5
Juventus,Sassuolo,2.0,0.9,3,0
Torino,Lazio,0.7,0.8,0,0
Udinese,Salernitana,1.1,1.5,0,0
Inter,Spezia,2.1,0.5,3,0
Sassuolo,Lecce,0.6,0.5,1,0
Empoli,Fiorentina,0.4,0.7,0,0
Napoli,Monza,2.0,0.1,4,0
Bologna,Hellas Verona,0.8,1.9,1,1
Atalanta,Milan,0.5,1.3,1,1
Roma,Cremonese,2.7,0.7,1,0
Sampdoria,Juventus,0.9,0.8,0,0
Monza,Udinese,1.5,1.7,1,2
Lazio,Inter,1.1,1.5,3,1
Juventus,Roma,0.6,1.3,1,1
Cremonese,Torino,0.8,1.7,1,2
Milan,Bologna,1.9,0.5,2,0
Spezia,Sassuolo,1.2,2.8,2,2
Salernitana,Sampdoria,1.7,1.8,4,0
Hellas Verona,Atalanta,0.5,0.8,0,1
Lecce,Empoli,0.9,0.4,1,1
Fiorentina,Napoli,0.5,1.7,0,0
Sassuolo,Milan,1.1,0.7,0,0
Inter,Cremonese,2.2,1.2,3,1
Roma,Monza,1.8,0.9,3,0
Sampdoria,Lazio,0.8,1.5,1,1
Udinese,Fiorentina,1.3,0.7,1,0
Empoli,Hellas Verona,1.1,0.6,1,1
Juventus,Spezia,0.9,0.2,2,0
Napoli,Lecce,1.7,1.1,1,1
Atalanta,Torino,2.9,0.4,3,1
Bologna,Salernitana,1.8,1.4,1,1
Fiorentina,Juventus,2.1,0.9,1,1
Milan,Inter,1.3,1.8,3,2
Lazio,Napoli,0.3,2.1,1,2
Cremonese,Sassuolo,0.4,1.5,0,0
Spezia,Bologna,0.9,0.9,2,2
Hellas Verona,Sampdoria,2.5,0.8,2,1
Udinese,Roma,1.2,0.8,4,0
Salernitana,Empoli,1.3,0.9,2,2
Monza,Atalanta,0.6,1.9,0,2
Torino,Lecce,1.1,0.3,1,0
