Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Bayern Munich,Hertha BSC,2.5,1.1,2,2
Wolfsburg,Köln,1.0,1.2,2,1
Freiburg,Mainz 05,2.3,1.0,3,0
Dortmund,Augsburg,3.2,0.9,5,1
Leverkusen,Paderborn 07,2.5,1.2,3,2
Werder Bremen,Düsseldorf,1.9,1.0,1,3
Gladbach,Schalke 04,1.5,0.8,0,0
Eint Frankfurt,Hoffenheim,1.8,0.8,1,0
Union Berlin,RB Leipzig,1.0,3.4,0,4
Köln,Dortmund,0.9,2.2,1,3
Paderborn 07,Freiburg,2.3,2.3,1,3
Düsseldorf,Leverkusen,1.0,1.6,1,3
Hoffenheim,Werder Bremen,0.9,1.2,3,2
Augsburg,Union Berlin,1.5,1.1,1,1
Mainz 05,Gladbach,1.7,1.9,1,3
Schalke 04,Bayern Munich,0.8,1.5,0,3
RB Leipzig,Eint Frankfurt,1.4,1.0,2,1
Hertha BSC,Wolfsburg,0.9,1.3,0,3
Gladbach,RB Leipzig,1.6,2.9,1,3
Wolfsburg,Paderborn 07,1.1,0.5,1,1
Schalke 04,Hertha BSC,1.3,0.8,3,0
Leverkusen,Hoffenheim,0.9,0.6,0,0
Freiburg,Köln,1.1,1.7,1,2
Bayern Munich,Mainz 05,2.9,0.8,6,1
Union Berlin,Dortmund,1.4,1.7,3,1
Werder Bremen,Augsburg,2.3,1.4,3,2
Eint Frankfurt,Düsseldorf,1.7,0.9,2,1
Düsseldorf,Wolfsburg,0.7,2.1,1,1
Mainz 05,Hertha BSC,1.2,2.2,2,1
Köln,Gladbach,0.9,1.4,0,1
Augsburg,Eint Frankfurt,1.3,1.1,2,1
Dortmund,Leverkusen,2.9,0.9,4,0
Union Berlin,Werder Bremen,1.7,2.2,1,2
RB Leipzig,Bayern Munich,1.5,1.4,1,1
Hoffenheim,Freiburg,1.4,1.6,0,3
Paderborn 07,Schalke 04,0.9,2.2,1,5
Schalke 04,Mainz 05,1.0,0.8,2,1
Freiburg,Augsburg,1.3,1.0,1,1
Bayern Munich,Köln,2.7,1.2,4,0
Leverkusen,Union Berlin,1.4,0.2,2,0
Hertha BSC,Paderborn 07,1.2,1.9,2,1
Werder Bremen,RB Leipzig,0.7,1.5,0,3
Gladbach,Düsseldorf,3.5,1.2,2,1
Eint Frankfurt,Dortmund,1.3,1.9,2,2
Wolfsburg,Hoffenheim,0.9,0.7,1,1
Union Berlin,Eint Frankfurt,0.9,2.0,1,2
Augsburg,Leverkusen,0.3,0.9,0,3
Mainz 05,Wolfsburg,1.3,0.8,0,1
Hoffenheim,Gladbach,1.3,2.8,0,3
Paderborn 07,Bayern Munich,0.3,3.1,2,3
