Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Werder Bremen,Augsburg,1.5,0.7,2,0
Dortmund,RB Leipzig,1.5,2.8,2,3
Stuttgart,Leverkusen,2.6,1.3,1,1
Köln,Mainz 05,0.3,1.4,0,0
Gladbach,Werder Bremen,1.4,1.6,2,2
Darmstadt 98,Wolfsburg,0.6,0.6,0,1
Bochum,Union Berlin,2.8,0.7,3,0
Augsburg,Dortmund,1.8,2.6,1,1
Mainz 05,Heidenheim,1.6,0.5,0,1
RB Leipzig,Hoffenheim,2.8,0.8,3,1
Freiburg,Köln,3.0,1.2,2,0
Leverkusen,Eint Frankfurt,2.5,0.2,3,0
Bayern Munich,Stuttgart,2.8,0.4,3,0
Werder Bremen,RB Leipzig,1.5,1.7,1,1
Hoffenheim,Darmstadt 98,3.5,0.8,3,3
Dortmund,Mainz 05,1.2,0.9,1,1
Union Berlin,Köln,1.5,0.8,2,0
Heidenheim,Freiburg,1.9,1.8,3,2
Stuttgart,Augsburg,2.6,0.2,3,0
Wolfsburg,Bayern Munich,0.3,2.5,1,2
Leverkusen,Bochum,3.3,0.4,4,0
Eint Frankfurt,Gladbach,1.4,0.3,2,1
Bayern Munich,Hoffenheim,2.8,1.2,3,0
RB Leipzig,Eint Frankfurt,3.5,1.1,0,1
Freiburg,Union Berlin,1.8,0.5,0,0
Augsburg,Leverkusen,0.4,2.0,0,1
Köln,Heidenheim,0.9,0.9,1,1
Mainz 05,Wolfsburg,0.4,0.6,1,1
Darmstadt 98,Dortmund,1.0,3.1,0,3
Bochum,Werder Bremen,0.7,0.8,1,1
Gladbach,Stuttgart,1.9,0.9,3,1
Darmstadt 98,Eint Frankfurt,1.1,1.2,2,2
Heidenheim,Wolfsburg,1.1,1.1,1,1
Köln,Dortmund,1.3,3.4,0,4
Freiburg,Hoffenheim,2.7,1.4,3,2
Bochum,Stuttgart,0.9,1.4,1,0
RB Leipzig,Leverkusen,1.6,2.0,2,3
Bayern Munich,Werder Bremen,1.9,0.4,0,1
Gladbach,Augsburg,1.7,1.3,1,2
Bayern Munich,Union Berlin,2.1,0.2,1,0
Eint Frankfurt,Mainz 05,1.3,0.8,1,0
Werder Bremen,Freiburg,2.5,1.2,3,1
Augsburg,Bayern Munich,2.6,2.3,2,3
Wolfsburg,Köln,1.5,0.6,1,1
Hoffenheim,Heidenheim,2.8,1.1,1,1
Stuttgart,RB Leipzig,2.2,0.4,5,2
Leverkusen,Gladbach,2.9,0.3,0,0
Union Berlin,Darmstadt 98,2.5,1.1,1,0
Dortmund,Bochum,2.9,0.5,3,1
Heidenheim,Dortmund,1.2,0.6,0,0
Freiburg,Stuttgart,0.7,1.7,1,3
Bayern Munich,Gladbach,2.1,1.0,3,1
Mainz 05,Werder Bremen,0.8,0.6,0,1
Darmstadt 98,Leverkusen,0.6,1.9,0,2
Bochum,Augsburg,0.9,1.6,1,1
Köln,Eint Frankfurt,1.3,0.8,2,0
Wolfsburg,Hoffenheim,1.7,1.7,2,2
RB Leipzig,Union Berlin,1.1,0.5,2,0
Mainz 05,Union Berlin,1.3,1.0,1,1
Dortmund,Freiburg,1.9,0.3,3,0
Werder Bremen,Heidenheim,1.7,1.8,1,2
Union Berlin,Wolfsburg,0.5,1.3,1,0
Gladbach,Darmstadt 98,1.5,0.7,0,0
Eint Frankfurt,Bochum,2.4,1.5,1,1
Augsburg,RB Leipzig,0.7,1.3,2,2
Leverkusen,Bayern Munich,1.3,0.6,3,0
Stuttgart,Mainz 05,1.9,1.4,3,1
Hoffenheim,Köln,1.2,0.1,1,1
Köln,Werder Bremen,0.8,1.8,0,1
Mainz 05,Augsburg,2.1,1.0,1,0
Hoffenheim,Union Berlin,1.0,1.4,0,1
Darmstadt 98,Stuttgart,1.7,1.6,1,2
Wolfsburg,Dortmund,1.8,1.4,1,1
Heidenheim,Leverkusen,0.4,1.9,1,2
RB Leipzig,Gladbach,1.7,0.7,2,0
Freiburg,Eint Frankfurt,2.2,1.0,3,3
Bochum,Bayern Munich,1.7,3.3,3,2
Leverkusen,Mainz 05,1.1,1.1,2,1
Union Berlin,Heidenheim,1.1,1.1,2,2
Werder Bremen,Darmstadt 98,1.8,1.0,1,1
Gladbach,Bochum,3.5,1.6,5,2
Stuttgart,Köln,2.2,0.7,1,1
Bayern Munich,RB Leipzig,1.5,0.9,2,1
Eint Frankfurt,Wolfsburg,0.9,1.0,2,2
Dortmund,Hoffenheim,1.9,1.3,2,3
Augsburg,Freiburg,1.6,1.6,2,1
Freiburg,Bayern Munich,1.5,1.8,2,2
Bochum,RB Leipzig,0.8,2.1,1,4
Heidenheim,Eint Frankfurt,1.0,1.2,1,2
Mainz 05,Gladbach,1.0,1.0,1,1
Union Berlin,Dortmund,1.2,1.6,0,2
Darmstadt 98,Augsburg,0.8,2.9,0,6
Wolfsburg,Stuttgart,0.8,1.1,2,3
Köln,Leverkusen,1.0,1.5,0,2
Hoffenheim,Werder Bremen,1.7,1.3,2,1
Stuttgart,Union Berlin,1.0,0.9,2,0
Bayern Munich,Mainz 05,6.2,0.8,8,1
RB Leipzig,Darmstadt 98,3.2,0.5,2,0
Gladbach,Köln,1.8,0.6,3,3
Augsburg,Heidenheim,0.5,0.4,1,0
Werder Bremen,Dortmund,1.8,1.2,1,2
Bochum,Freiburg,1.2,1.4,1,2
Eint Frankfurt,Hoffenheim,2.4,0.6,3,1
Leverkusen,Wolfsburg,2.1,0.2,2,0
Köln,RB Leipzig,1.2,3.3,1,5
Wolfsburg,Augsburg,1.3,0.7,1,3
Heidenheim,Gladbach,1.1,0.5,1,1
Union Berlin,Werder Bremen,1.1,1.1,2,1
Mainz 05,Bochum,2.5,0.7,2,0
Darmstadt 98,Bayern Munich,1.2,3.6,2,5
Hoffenheim,Stuttgart,0.5,3.7,0,3
Freiburg,Leverkusen,0.9,2.3,2,3
Dortmund,Eint Frankfurt,2.3,0.9,3,1
Werder Bremen,Wolfsburg,0.5,2.3,0,2
Eint Frankfurt,Union Berlin,1.0,1.5,0,0
RB Leipzig,Mainz 05,2.5,0.9,0,0
Leverkusen,Hoffenheim,3.1,0.8,2,1
Gladbach,Freiburg,1.5,1.7,0,3
Bayern Munich,Dortmund,1.5,0.9,0,2
Augsburg,Köln,2.2,1.3,1,1
Stuttgart,Heidenheim,3.0,1.3,3,3
Bochum,Darmstadt 98,1.8,0.9,2,2
Eint Frankfurt,Werder Bremen,2.1,1.6,1,1
Freiburg,RB Leipzig,1.6,2.3,1,4
Union Berlin,Leverkusen,0.3,2.8,0,1
Köln,Bochum,1.0,0.6,2,1
Mainz 05,Darmstadt 98,3.6,0.5,4,0
Heidenheim,Bayern Munich,1.4,1.9,3,2
Dortmund,Stuttgart,2.5,1.6,0,1
Hoffenheim,Augsburg,1.8,1.2,3,1
Wolfsburg,Gladbach,1.2,1.1,1,3
Augsburg,Union Berlin,1.6,1.6,2,0
Gladbach,Dortmund,1.1,1.3,1,2
Mainz 05,Hoffenheim,2.1,0.5,4,1
Bochum,Heidenheim,1.2,1.1,1,1
Bayern Munich,Köln,2.2,0.9,2,0
RB Leipzig,Wolfsburg,1.3,0.4,3,0
Stuttgart,Eint Frankfurt,1.2,0.6,3,0
Darmstadt 98,Freiburg,1.1,0.9,0,1
Leverkusen,Werder Bremen,3.2,0.7,5,0
Eint Frankfurt,Augsburg,1.8,0.5,3,1
Wolfsburg,Bochum,0.8,1.3,1,0
Heidenheim,RB Leipzig,1.0,1.8,1,2
Hoffenheim,Gladbach,2.3,1.0,4,3
Köln,Darmstadt 98,1.0,1.8,0,2
Union Berlin,Bayern Munich,1.4,1.4,1,5
Werder Bremen,Stuttgart,1.5,2.2,2,1
Dortmund,Leverkusen,0.5,1.1,1,1
Freiburg,Mainz 05,1.1,1.0,1,1
Bochum,Hoffenheim,3.2,1.0,3,2
Augsburg,Werder Bremen,0.6,2.0,0,3
Bayern Munich,Eint Frankfurt,3.3,0.5,2,1
Freiburg,Wolfsburg,2.2,0.5,1,2
RB Leipzig,Dortmund,2.6,1.6,4,1
Leverkusen,Stuttgart,1.4,1.7,2,2
Gladbach,Union Berlin,0.9,1.0,0,0
Mainz 05,Köln,1.6,2.5,1,1
Darmstadt 98,Heidenheim,0.7,1.6,0,1
Hoffenheim,RB Leipzig,1.6,0.8,1,1
Stuttgart,Bayern Munich,1.8,1.7,3,1
Werder Bremen,Gladbach,1.4,1.9,2,2
Dortmund,Augsburg,4.0,2.5,5,1
Wolfsburg,Darmstadt 98,2.2,0.4,3,0
Köln,Freiburg,0.9,0.8,0,0
Union Berlin,Bochum,0.9,1.4,3,4
Eint Frankfurt,Leverkusen,1.9,2.7,1,5
