Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Bayern Munich,Leverkusen,2.6,1.6,3,1
Hertha BSC,Stuttgart,0.5,1.0,2,0
Mainz 05,Hannover 96,0.7,0.7,0,1
Wolfsburg,Dortmund,0.4,1.0,0,3
Hoffenheim,Werder Bremen,1.0,0.9,1,0
Hamburger SV,Augsburg,0.5,0.8,1,0
Schalke 04,RB Leipzig,1.8,1.0,2,0
Freiburg,Eint Frankfurt,0.4,1.3,0,0
Gladbach,Köln,1.5,1.1,1,0
Köln,Hamburger SV,2.1,1.5,1,3
Eint Frankfurt,Wolfsburg,1.0,1.0,0,1
Augsburg,Gladbach,2.7,1.3,2,2
Stuttgart,Mainz 05,1.9,0.9,1,0
Leverkusen,Hoffenheim,2.2,0.9,2,2
Werder Bremen,Bayern Munich,0.3,1.5,0,2
Dortmund,Hertha BSC,1.8,0.4,2,0
RB Leipzig,Freiburg,2.7,0.5,4,1
Hannover 96,Schalke 04,0.9,0.5,1,0
Hamburger SV,RB Leipzig,1.2,1.8,0,2
Wolfsburg,Hannover 96,1.1,0.9,1,1
Mainz 05,Leverkusen,1.2,0.8,3,1
Augsburg,Köln,2.3,0.7,3,0
Gladbach,Eint Frankfurt,0.9,0.7,0,1
Freiburg,Dortmund,0.5,1.6,0,0
Hoffenheim,Bayern Munich,0.6,1.9,2,0
Hertha BSC,Werder Bremen,0.3,0.6,1,1
Schalke 04,Stuttgart,2.0,1.3,3,1
Hannover 96,Hamburger SV,2.0,0.7,2,0
Stuttgart,Wolfsburg,1.0,0.5,1,0
Bayern Munich,Mainz 05,3.8,0.8,4,0
Eint Frankfurt,Augsburg,1.5,0.7,1,2
Werder Bremen,Schalke 04,0.9,0.9,1,2
RB Leipzig,Gladbach,0.7,1.5,2,2
Hoffenheim,Hertha BSC,0.5,0.6,1,1
Leverkusen,Freiburg,1.9,0.5,4,0
Dortmund,Köln,3.5,0.7,5,0
Gladbach,Stuttgart,1.1,0.6,2,0
Schalke 04,Bayern Munich,1.2,2.3,0,3
Augsburg,RB Leipzig,1.2,1.1,1,0
Wolfsburg,Werder Bremen,1.0,0.9,1,1
Köln,Eint Frankfurt,2.1,1.2,0,1
Freiburg,Hannover 96,2.9,1.1,1,1
Hamburger SV,Dortmund,0.3,3.2,0,3
Mainz 05,Hoffenheim,1.9,1.4,2,3
Hertha BSC,Leverkusen,0.3,0.5,2,1
Bayern Munich,Wolfsburg,2.4,0.8,2,2
Werder Bremen,Freiburg,1.4,0.9,0,0
Hoffenheim,Schalke 04,1.5,1.3,2,0
Mainz 05,Hertha BSC,1.1,0.6,1,0
Stuttgart,Augsburg,0.7,0.4,0,0
RB Leipzig,Eint Frankfurt,1.6,0.8,2,1
Dortmund,Gladbach,4.2,1.4,6,1
Hannover 96,Köln,1.7,1.0,0,0
Leverkusen,Hamburger SV,2.4,0.6,3,0
Schalke 04,Leverkusen,0.8,1.0,1,1
Wolfsburg,Mainz 05,0.9,1.1,1,1
Gladbach,Hannover 96,2.5,1.7,2,1
Augsburg,Dortmund,1.5,2.0,1,2
Eint Frankfurt,Stuttgart,1.2,1.0,2,1
Hamburger SV,Werder Bremen,1.0,0.5,0,0
Freiburg,Hoffenheim,1.2,0.8,3,2
Hertha BSC,Bayern Munich,1.4,1.3,2,2
Köln,RB Leipzig,1.2,2.7,1,2
Stuttgart,Köln,2.3,2.1,2,1
Bayern Munich,Freiburg,1.6,0.6,5,0
Hertha BSC,Schalke 04,0.0,1.7,0,2
Hannover 96,Eint Frankfurt,0.7,1.0,1,2
Hoffenheim,Augsburg,1.8,0.9,2,2
Mainz 05,Hamburger SV,1.2,2.2,3,2
Dortmund,RB Leipzig,2.2,2.3,2,3
Leverkusen,Wolfsburg,2.3,1.0,2,2
Werder Bremen,Gladbach,1.5,1.4,0,2
Schalke 04,Mainz 05,1.8,0.6,2,0
Eint Frankfurt,Dortmund,2.3,2.4,2,2
Augsburg,Hannover 96,1.0,1.2,1,2
RB Leipzig,Stuttgart,1.1,0.8,1,0
Gladbach,Leverkusen,2.3,1.7,1,5
Hamburger SV,Bayern Munich,0.2,2.3,0,1
Köln,Werder Bremen,2.0,1.3,0,0
Freiburg,Hertha BSC,2.6,2.1,1,1
Wolfsburg,Hoffenheim,1.6,2.1,1,1
Mainz 05,Eint Frankfurt,0.4,0.4,1,1
Hertha BSC,Hamburger SV,1.0,0.9,2,1
Schalke 04,Wolfsburg,1.6,1.1,1,1
Hoffenheim,Gladbach,1.1,1.7,1,3
Hannover 96,Dortmund,2.2,1.0,4,2
Leverkusen,Köln,1.7,0.9,2,1
Bayern Munich,RB Leipzig,2.2,0.3,2,0
Werder Bremen,Augsburg,0.7,2.9,0,3
Stuttgart,Freiburg,1.4,0.4,3,0
Eint Frankfurt,Werder Bremen,2.0,1.7,2,1
Augsburg,Leverkusen,1.7,0.8,1,1
