Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Eint Frankfurt,Bayern Munich,0.9,4.0,1,6
Wolfsburg,Werder Bremen,1.0,0.8,2,2
Augsburg,Freiburg,0.7,1.2,0,4
Union Berlin,Hertha BSC,1.0,0.3,3,1
Gladbach,Hoffenheim,1.9,0.1,3,1
Bochum,Mainz 05,0.9,1.4,1,2
Dortmund,Leverkusen,1.8,1.3,1,0
Stuttgart,RB Leipzig,0.8,1.6,1,1
Köln,Schalke 04,4.1,0.2,3,1
Freiburg,Dortmund,1.0,1.1,1,3
Hoffenheim,Bochum,2.6,1.5,3,2
Werder Bremen,Stuttgart,0.5,1.4,2,2
Leverkusen,Augsburg,2.5,0.4,1,2
RB Leipzig,Köln,1.0,1.5,2,2
Hertha BSC,Eint Frankfurt,1.7,1.6,1,1
Schalke 04,Gladbach,1.4,1.3,2,2
Mainz 05,Union Berlin,0.7,0.4,0,0
Bayern Munich,Wolfsburg,2.0,0.5,2,0
Gladbach,Hertha BSC,2.7,1.0,1,0
Leverkusen,Hoffenheim,1.2,1.5,0,3
Augsburg,Mainz 05,0.5,2.1,1,2
Stuttgart,Freiburg,0.9,0.6,0,1
Dortmund,Werder Bremen,0.5,1.3,2,3
Wolfsburg,Schalke 04,1.3,1.1,0,0
Union Berlin,RB Leipzig,0.7,0.9,2,1
Eint Frankfurt,Köln,0.9,0.3,1,1
Bochum,Bayern Munich,0.7,2.9,0,7
Freiburg,Bochum,3.9,1.2,1,0
Hoffenheim,Augsburg,1.9,0.6,1,0
Mainz 05,Leverkusen,1.4,1.9,0,3
RB Leipzig,Wolfsburg,3.5,0.5,2,0
Schalke 04,Union Berlin,1.9,1.1,1,6
Hertha BSC,Dortmund,0.5,2.7,0,1
Bayern Munich,Gladbach,2.8,0.5,1,1
Köln,Stuttgart,0.6,2.1,0,0
Werder Bremen,Eint Frankfurt,1.8,1.8,3,4
Dortmund,Hoffenheim,2.0,0.5,1,0
Stuttgart,Schalke 04,0.6,2.3,1,1
Bochum,Werder Bremen,0.8,2.0,0,2
Union Berlin,Bayern Munich,0.3,1.5,1,1
Leverkusen,Freiburg,1.8,1.9,2,3
Wolfsburg,Köln,1.0,2.7,2,4
Eint Frankfurt,RB Leipzig,3.1,0.2,4,0
Augsburg,Hertha BSC,0.4,2.1,0,2
Gladbach,Mainz 05,1.2,0.6,0,1
Werder Bremen,Augsburg,1.3,1.0,0,1
Bayern Munich,Stuttgart,2.2,1.2,2,2
Eint Frankfurt,Wolfsburg,0.7,1.0,0,1
Hertha BSC,Leverkusen,1.9,1.3,2,2
Hoffenheim,Mainz 05,4.2,0.7,4,1
RB Leipzig,Dortmund,2.0,0.6,3,0
Schalke 04,Bochum,1.5,1.1,3,1
Köln,Union Berlin,0.6,1.5,0,1
Freiburg,Gladbach,1.1,1.2,0,0
Mainz 05,Hertha BSC,0.7,0.4,1,1
Dortmund,Schalke 04,1.8,0.1,1,0
Leverkusen,Werder Bremen,1.8,2.1,1,1
Stuttgart,Eint Frankfurt,1.0,1.0,1,3
Augsburg,Bayern Munich,1.7,1.6,1,0
Gladbach,RB Leipzig,2.7,0.9,3,0
Union Berlin,Wolfsburg,1.4,0.3,2,0
Bochum,Köln,0.2,2.1,1,1
Hoffenheim,Freiburg,0.7,1.0,0,0
Bayern Munich,Leverkusen,1.9,0.8,4,0
Freiburg,Mainz 05,2.0,1.6,2,1
Eint Frankfurt,Union Berlin,0.8,1.0,2,0
Köln,Dortmund,1.9,2.5,3,2
Wolfsburg,Stuttgart,2.0,1.5,3,2
RB Leipzig,Bochum,3.9,0.1,4,0
Werder Bremen,Gladbach,1.9,2.3,5,1
Hertha BSC,Hoffenheim,0.9,1.4,1,1
Schalke 04,Augsburg,1.8,1.4,2,3
Hoffenheim,Werder Bremen,1.7,1.3,1,2
Bochum,Eint Frankfurt,0.6,0.9,3,0
Mainz 05,RB Leipzig,0.6,1.0,1,1
Augsburg,Wolfsburg,2.0,1.8,1,1
Leverkusen,Schalke 04,1.5,0.4,4,0
Dortmund,Bayern Munich,1.6,0.6,2,2
Gladbach,Köln,3.0,1.3,5,2
Hertha BSC,Freiburg,1.6,1.0,2,2
Stuttgart,Union Berlin,1.0,0.7,0,1
Schalke 04,Hoffenheim,0.7,3.2,0,3
Wolfsburg,Gladbach,1.8,0.8,2,2
Eint Frankfurt,Leverkusen,3.9,0.4,5,1
Werder Bremen,Mainz 05,1.3,1.1,0,2
Stuttgart,Bochum,2.2,1.6,4,1
RB Leipzig,Hertha BSC,2.9,2.3,3,2
Köln,Augsburg,1.5,0.4,3,2
Union Berlin,Dortmund,1.9,0.8,2,0
Bayern Munich,Freiburg,2.1,0.3,5,0
Mainz 05,Köln,1.9,0.7,5,0
Leverkusen,Wolfsburg,2.2,1.2,2,2
Hoffenheim,Bayern Munich,0.8,2.4,0,2
Dortmund,Stuttgart,2.6,1.0,5,0
Freiburg,Werder Bremen,2.9,0.5,2,0
Augsburg,RB Leipzig,1.6,2.4,3,3
Gladbach,Eint Frankfurt,1.0,1.9,1,3
Bochum,Union Berlin,1.1,1.0,2,1
Hertha BSC,Schalke 04,0.8,0.6,2,1
Werder Bremen,Hertha BSC,1.3,0.4,1,0
Bayern Munich,Mainz 05,3.1,2.2,6,2
Wolfsburg,Bochum,2.0,0.5,4,0
RB Leipzig,Leverkusen,1.2,0.1,2,0
Stuttgart,Augsburg,2.6,1.0,2,1
Eint Frankfurt,Dortmund,1.9,0.6,1,2
Union Berlin,Gladbach,0.9,1.0,2,1
Schalke 04,Freiburg,0.6,2.3,0,2
Köln,Hoffenheim,1.2,0.9,1,1
Gladbach,Stuttgart,0.9,1.1,3,1
Dortmund,Bochum,1.5,0.6,3,0
Mainz 05,Wolfsburg,1.0,0.6,0,3
Augsburg,Eint Frankfurt,1.2,1.2,1,2
Hertha BSC,Bayern Munich,1.2,1.9,2,3
Hoffenheim,RB Leipzig,0.9,1.7,1,3
Werder Bremen,Schalke 04,1.0,1.4,2,1
Leverkusen,Union Berlin,1.9,0.3,5,0
Freiburg,Köln,1.4,0.5,2,0
Wolfsburg,Dortmund,2.4,1.6,2,0
Stuttgart,Hertha BSC,2.0,0.7,2,1
Bochum,Gladbach,2.0,0.8,2,1
Bayern Munich,Werder Bremen,4.4,1.3,6,1
Köln,Leverkusen,1.4,1.4,1,2
Union Berlin,Augsburg,1.2,0.6,2,2
Schalke 04,Mainz 05,1.5,0.8,1,0
RB Leipzig,Freiburg,2.9,0.2,3,1
Eint Frankfurt,Hoffenheim,2.8,1.8,4,2
Gladbach,Dortmund,2.1,3.0,4,2
Augsburg,Bochum,2.2,1.1,0,1
Hoffenheim,Wolfsburg,1.4,0.7,1,2
Werder Bremen,RB Leipzig,0.9,1.7,1,2
Hertha BSC,Köln,1.8,1.8,2,0
Leverkusen,Stuttgart,1.6,0.3,2,0
Schalke 04,Bayern Munich,0.8,1.9,0,2
Mainz 05,Eint Frankfurt,1.5,1.8,1,1
Freiburg,Union Berlin,2.3,1.7,4,1
RB Leipzig,Bayern Munich,0.7,0.7,1,1
Union Berlin,Hoffenheim,2.9,1.0,3,1
Stuttgart,Mainz 05,1.6,1.4,1,1
Bochum,Hertha BSC,1.6,0.9,3,1
Wolfsburg,Freiburg,2.7,0.7,6,0
Eint Frankfurt,Schalke 04,1.2,1.8,3,0
Köln,Werder Bremen,3.0,0.3,7,1
Dortmund,Augsburg,2.9,1.7,4,3
Gladbach,Leverkusen,1.0,2.0,2,3
Schalke 04,RB Leipzig,0.7,2.7,1,6
Hoffenheim,Stuttgart,2.0,0.8,2,2
Hertha BSC,Wolfsburg,0.4,3.1,0,5
Bayern Munich,Köln,1.4,0.8,1,1
Mainz 05,Dortmund,1.2,1.5,1,2
Werder Bremen,Union Berlin,0.6,1.1,1,2
Freiburg,Eint Frankfurt,1.9,0.2,1,1
Augsburg,Gladbach,0.9,0.3,1,0
Leverkusen,Bochum,1.7,0.7,2,0
RB Leipzig,Stuttgart,1.0,1.7,2,1
Hoffenheim,Gladbach,1.8,1.7,1,4
