Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Bayern Munich,Schalke 04,3.9,0.2,8,0
Köln,Hoffenheim,2.7,2.6,2,3
Union Berlin,Augsburg,1.2,1.5,1,3
Stuttgart,Freiburg,2.6,1.9,2,3
Werder Bremen,Hertha BSC,0.7,1.8,1,4
Eint Frankfurt,Arminia,2.3,0.8,1,1
Dortmund,Gladbach,1.8,0.6,3,0
RB Leipzig,Mainz 05,2.8,1.2,3,1
Wolfsburg,Leverkusen,0.9,0.5,0,0
Hertha BSC,Eint Frankfurt,1.2,1.5,1,3
Augsburg,Dortmund,1.2,1.8,2,0
Leverkusen,RB Leipzig,0.9,0.9,1,1
Gladbach,Union Berlin,1.8,0.8,1,1
Mainz 05,Stuttgart,1.3,2.6,1,4
Arminia,Köln,0.2,1.4,1,0
Schalke 04,Werder Bremen,1.6,2.4,1,3
Hoffenheim,Bayern Munich,2.6,1.4,4,1
Freiburg,Wolfsburg,1.3,0.5,1,1
Union Berlin,Mainz 05,2.5,0.3,4,0
Stuttgart,Leverkusen,0.8,1.5,1,1
Dortmund,Freiburg,2.5,0.5,4,0
Köln,Gladbach,0.6,2.1,1,3
Werder Bremen,Arminia,0.4,1.1,1,0
Eint Frankfurt,Hoffenheim,2.9,1.4,2,1
RB Leipzig,Schalke 04,3.9,0.2,4,0
Wolfsburg,Augsburg,1.0,1.2,0,0
Bayern Munich,Hertha BSC,3.6,1.1,4,3
Augsburg,RB Leipzig,1.0,2.1,0,2
Freiburg,Werder Bremen,1.3,1.6,1,1
Hoffenheim,Dortmund,1.2,2.0,0,1
Hertha BSC,Stuttgart,1.1,1.3,0,2
Mainz 05,Leverkusen,0.3,0.5,0,1
Arminia,Bayern Munich,1.4,3.1,1,4
Gladbach,Wolfsburg,1.9,1.4,1,1
Köln,Eint Frankfurt,1.4,1.9,1,1
Schalke 04,Union Berlin,0.4,1.0,1,1
Stuttgart,Köln,0.8,2.2,1,1
Mainz 05,Gladbach,1.9,3.0,2,3
Union Berlin,Freiburg,1.6,0.3,1,1
Bayern Munich,Eint Frankfurt,3.1,0.4,5,0
RB Leipzig,Hertha BSC,2.7,0.8,2,1
Dortmund,Schalke 04,1.4,0.2,3,0
Wolfsburg,Arminia,2.2,0.5,2,1
Werder Bremen,Hoffenheim,0.3,1.0,1,1
Leverkusen,Augsburg,2.4,0.3,3,1
Schalke 04,Stuttgart,0.6,1.6,1,1
Eint Frankfurt,Werder Bremen,2.0,0.8,1,1
Augsburg,Mainz 05,1.9,1.0,3,1
Köln,Bayern Munich,0.5,1.1,1,2
Arminia,Dortmund,0.3,2.4,0,2
Gladbach,RB Leipzig,0.4,0.8,1,0
Freiburg,Leverkusen,1.2,1.2,2,4
Hertha BSC,Wolfsburg,1.2,0.6,1,1
Hoffenheim,Union Berlin,1.3,3.6,1,3
Werder Bremen,Köln,1.6,0.4,1,1
Union Berlin,Arminia,2.0,0.3,5,0
Augsburg,Hertha BSC,0.3,2.2,0,3
RB Leipzig,Freiburg,2.2,0.6,3,0
Stuttgart,Eint Frankfurt,2.0,3.2,2,2
Mainz 05,Schalke 04,3.7,1.9,2,2
Dortmund,Bayern Munich,2.5,1.2,2,3
Wolfsburg,Hoffenheim,1.9,2.8,2,1
Leverkusen,Gladbach,1.3,2.7,4,3
Gladbach,Augsburg,2.1,0.8,1,1
Hoffenheim,Stuttgart,1.7,1.6,3,3
Arminia,Leverkusen,0.0,1.2,1,2
Schalke 04,Wolfsburg,1.1,2.5,0,2
Bayern Munich,Werder Bremen,1.7,1.7,1,1
Eint Frankfurt,RB Leipzig,1.0,0.8,1,1
Hertha BSC,Dortmund,1.5,2.8,2,5
Freiburg,Mainz 05,2.0,2.9,1,3
Köln,Union Berlin,1.2,1.8,1,2
Wolfsburg,Werder Bremen,1.5,1.0,5,3
Stuttgart,Bayern Munich,1.2,0.9,1,3
RB Leipzig,Arminia,2.5,1.6,2,1
Union Berlin,Eint Frankfurt,2.4,1.4,3,3
Dortmund,Köln,3.0,1.5,1,2
Augsburg,Freiburg,0.5,0.8,1,1
