Home Team,Away Team,Home XG,Away XG,Home Goals,Away Goals
Gladbach,Bayern Munich,2.3,2.5,1,1
Stuttgart,Greuther Fürth,3.0,1.2,5,1
Union Berlin,Leverkusen,0.5,0.8,1,1
Wolfsburg,Bochum,2.0,0.4,1,0
Arminia,Freiburg,0.4,1.6,0,0
Augsburg,Hoffenheim,0.6,3.8,0,4
Dortmund,Eint Frankfurt,2.7,1.3,5,2
Mainz 05,RB Leipzig,1.2,1.1,1,0
Köln,Hertha BSC,1.6,1.8,3,1
RB Leipzig,Stuttgart,3.6,1.1,4,0
Hertha BSC,Wolfsburg,1.2,1.0,1,2
Bochum,Mainz 05,0.8,0.9,2,0
Greuther Fürth,Arminia,2.5,0.8,1,1
Freiburg,Dortmund,1.3,1.6,2,1
Eint Frankfurt,Augsburg,1.6,0.3,0,0
Leverkusen,Gladbach,1.9,1.7,4,0
Hoffenheim,Union Berlin,1.0,1.8,2,2
Bayern Munich,Köln,2.6,1.1,3,2
Dortmund,Hoffenheim,3.4,2.2,3,2
Mainz 05,Greuther Fürth,2.7,0.2,3,0
Stuttgart,Freiburg,1.8,1.3,2,3
Arminia,Eint Frankfurt,0.6,1.5,1,1
Augsburg,Leverkusen,1.8,2.0,1,4
Köln,Bochum,3.2,0.6,2,1
Bayern Munich,Hertha BSC,2.8,0.4,5,0
Union Berlin,Gladbach,1.9,1.8,2,1
Wolfsburg,RB Leipzig,0.8,1.1,1,0
Freiburg,Köln,0.8,1.1,1,1
Hoffenheim,Mainz 05,0.7,0.9,0,2
Union Berlin,Augsburg,1.0,1.0,0,0
Leverkusen,Dortmund,0.7,1.8,3,4
Greuther Fürth,Wolfsburg,0.3,1.4,0,2
RB Leipzig,Bayern Munich,0.5,3.9,1,4
Eint Frankfurt,Stuttgart,1.1,0.9,1,1
Bochum,Hertha BSC,1.2,0.3,1,3
Gladbach,Arminia,1.7,1.8,3,1
Hertha BSC,Greuther Fürth,0.7,1.4,2,1
Augsburg,Gladbach,0.3,0.6,1,0
Arminia,Hoffenheim,1.1,1.1,0,0
Bayern Munich,Bochum,5.6,0.4,7,0
Mainz 05,Freiburg,0.9,0.4,0,0
Köln,RB Leipzig,1.7,2.7,1,1
Stuttgart,Leverkusen,1.6,1.4,1,3
Dortmund,Union Berlin,0.9,1.6,4,2
Wolfsburg,Eint Frankfurt,1.2,0.3,1,1
Greuther Fürth,Bayern Munich,0.7,0.8,1,3
Eint Frankfurt,Köln,0.9,0.9,1,1
Hoffenheim,Wolfsburg,1.5,0.6,3,1
Leverkusen,Mainz 05,1.5,0.9,1,0
Union Berlin,Arminia,1.2,0.5,1,0
RB Leipzig,Hertha BSC,3.8,0.2,6,0
Gladbach,Dortmund,1.6,0.4,1,0
Bochum,Stuttgart,0.8,0.3,0,0
Freiburg,Augsburg,3.1,0.2,3,0
Köln,Greuther Fürth,2.9,1.3,3,1
Stuttgart,Hoffenheim,0.8,1.0,3,1
Dortmund,Augsburg,3.0,0.8,2,1
Hertha BSC,Freiburg,1.0,0.7,1,2
Wolfsburg,Gladbach,1.3,3.3,1,3
RB Leipzig,Bochum,3.2,1.5,3,0
Mainz 05,Union Berlin,1.1,1.4,1,2
Bayern Munich,Eint Frankfurt,2.2,0.8,1,2
Arminia,Leverkusen,0.4,3.1,0,4
Hoffenheim,Köln,3.7,0.7,5,0
Eint Frankfurt,Hertha BSC,1.6,1.8,1,2
Union Berlin,Wolfsburg,0.9,1.5,2,0
Freiburg,RB Leipzig,1.4,1.7,1,1
Greuther Fürth,Bochum,0.8,1.6,0,1
Dortmund,Mainz 05,2.3,0.8,3,1
Gladbach,Stuttgart,2.6,0.3,1,1
Leverkusen,Bayern Munich,0.7,3.2,1,5
Augsburg,Arminia,0.6,0.3,1,1
Mainz 05,Augsburg,3.7,0.9,4,1
Bayern Munich,Hoffenheim,2.8,0.7,4,0
Wolfsburg,Freiburg,1.3,1.5,0,2
RB Leipzig,Greuther Fürth,2.3,1.4,4,1
Arminia,Dortmund,1.4,2.4,1,3
Hertha BSC,Gladbach,1.0,0.5,1,0
Köln,Leverkusen,1.8,0.9,2,2
Stuttgart,Union Berlin,0.5,1.0,1,1
Bochum,Eint Frankfurt,2.1,1.6,2,0
Hoffenheim,Hertha BSC,0.9,0.3,2,0
Freiburg,Greuther Fürth,1.5,0.8,3,1
Leverkusen,Wolfsburg,1.5,1.8,0,2
Dortmund,Köln,1.4,1.3,2,0
Union Berlin,Bayern Munich,0.9,3.2,2,5
Arminia,Mainz 05,0.6,2.5,1,2
Eint Frankfurt,RB Leipzig,0.6,3.0,1,1
Augsburg,Stuttgart,2.1,0.9,4,1
Gladbach,Bochum,1.9,0.8,2,1
Mainz 05,Gladbach,1.1,1.6,1,1
Bochum,Hoffenheim,2.9,0.6,2,0
Stuttgart,Arminia,0.9,1.7,0,1
Bayern Munich,Freiburg,2.8,1.0,2,1
Wolfsburg,Augsburg,0.5,0.7,1,0
RB Leipzig,Dortmund,2.6,0.9,2,1
Hertha BSC,Leverkusen,0.8,1.0,1,1
Köln,Union Berlin,1.8,1.0,2,2
Greuther Fürth,Eint Frankfurt,2.4,1.2,1,2
Augsburg,Bayern Munich,0.4,1.2,2,1
Hoffenheim,RB Leipzig,3.1,0.2,2,0
Dortmund,Stuttgart,2.2,1.6,2,1
Leverkusen,Bochum,1.7,0.8,1,0
Arminia,Wolfsburg,1.3,1.9,2,2
Gladbach,Greuther Fürth,3.1,0.2,4,0
Union Berlin,Hertha BSC,1.5,0.4,2,0
Freiburg,Eint Frankfurt,1.4,1.2,0,2
Mainz 05,Köln,0.8,2.2,1,1
Stuttgart,Mainz 05,0.3,0.8,2,1
Hertha BSC,Augsburg,1.7,1.2,1,1
Wolfsburg,Dortmund,1.9,2.3,1,3
Bochum,Freiburg,1.1,2.2,2,1
Köln,Gladbach,1.4,1.0,4,1
Greuther Fürth,Hoffenheim,1.1,4.0,3,6
Bayern Munich,Arminia,2.2,0.3,1,0
Eint Frankfurt,Union Berlin,1.3,1.1,2,1
RB Leipzig,Leverkusen,1.5,1.4,1,3
Union Berlin,RB Leipzig,2.4,1.4,2,1
Leverkusen,Greuther Fürth,2.8,0.3,7,1
Arminia,Köln,1.1,1.1,1,1
Hoffenheim,Eint Frankfurt,0.9,1.5,3,2
Augsburg,Bochum,2.9,2.1,2,3
